experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9038241505622864, max_false: 0.9002329111099243, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.8941859602928162, max_false: 0.8496013283729553, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9197419881820679, max_false: 0.934210479259491, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.870421826839447, max_false: 0.8276154398918152, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9327127933502197, max_false: 0.908413290977478, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9499507546424866, max_false: 0.9020707607269287, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9427514672279358, max_false: 0.9340538382530212, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9078739881515503, max_false: 0.9290809035301208, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9252870678901672, max_false: 0.9180111289024353, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8968316316604614, max_false: 0.8769593238830566, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8913698196411133, max_false: 0.8845537900924683, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8911281228065491, max_false: 0.907278299331665, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9441636800765991, max_false: 0.9148358106613159, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9080746173858643, max_false: 0.8497229218482971, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9525958895683289, max_false: 0.8937116861343384, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9179902076721191, max_false: 0.855815052986145, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.947253406047821, max_false: 0.9300322532653809, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9058260917663574, max_false: 0.8854396343231201, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9102101922035217, max_false: 0.8893594145774841, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9329842329025269, max_false: 0.9174570441246033, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8734651207923889, max_false: 0.8820534944534302, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8565617799758911, max_false: 0.8464685678482056, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9444601535797119, max_false: 0.9500213265419006, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8568986058235168, max_false: 0.8544398546218872, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9145034551620483, max_false: 0.9113309383392334, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8370832204818726, max_false: 0.8290577530860901, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9549626708030701, max_false: 0.9489872455596924, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9567675590515137, max_false: 0.935379147529602, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9274458885192871, max_false: 0.9088775515556335, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9000363945960999, max_false: 0.8914393186569214, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8981581926345825, max_false: 0.9321669340133667, correct: False
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.9012847542762756, max_false: 0.9150170683860779, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9208875298500061, max_false: 0.8894089460372925, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8399361371994019, max_false: 0.8073490262031555, correct: True
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.8044774532318115, max_false: 0.73275226354599, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9005093574523926, max_false: 0.8858146667480469, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8622872829437256, max_false: 0.8536373376846313, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.889548659324646, max_false: 0.814135730266571, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9628731608390808, max_false: 0.9592828750610352, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9177072048187256, max_false: 0.9000102877616882, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9542627334594727, max_false: 0.9269047975540161, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8586846590042114, max_false: 0.8502200841903687, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9371853470802307, max_false: 0.9363824725151062, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8751745223999023, max_false: 0.8676187992095947, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9505413174629211, max_false: 0.8908441662788391, correct: True
in: torch.Size([181, 5120]), out: torch.Size([5120]), max_true: 0.8531904220581055, max_false: 0.8105392456054688, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9454920291900635, max_false: 0.9239094853401184, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8980823755264282, max_false: 0.8719404339790344, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9547972679138184, max_false: 0.9172064661979675, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8929128646850586, max_false: 0.8890629410743713, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9169743061065674, max_false: 0.916902482509613, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8193178772926331, max_false: 0.796847403049469, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9256364107131958, max_false: 0.9302965402603149, correct: False
in: torch.Size([104, 5120]), out: torch.Size([5120]), max_true: 0.8750172853469849, max_false: 0.854097306728363, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.962282657623291, max_false: 0.8812008500099182, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9216424226760864, max_false: 0.8189893364906311, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9193941950798035, max_false: 0.8958381414413452, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8838748335838318, max_false: 0.885391116142273, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9247167110443115, max_false: 0.891090989112854, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9196638464927673, max_false: 0.8772377371788025, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9347665905952454, max_false: 0.8995609283447266, correct: True
in: torch.Size([111, 5120]), out: torch.Size([5120]), max_true: 0.9006142020225525, max_false: 0.8483216166496277, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9370806217193604, max_false: 0.9489426016807556, correct: False
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.8769604563713074, max_false: 0.8725811839103699, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9431228637695312, max_false: 0.9425287842750549, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9161491394042969, max_false: 0.9202609062194824, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9132319092750549, max_false: 0.901914656162262, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9246454238891602, max_false: 0.9080420732498169, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9470252394676208, max_false: 0.9346494078636169, correct: True
in: torch.Size([195, 5120]), out: torch.Size([5120]), max_true: 0.8656888604164124, max_false: 0.8466053009033203, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8872683048248291, max_false: 0.871550440788269, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9639110565185547, max_false: 0.9141385555267334, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9430918097496033, max_false: 0.9355517029762268, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9137433767318726, max_false: 0.8713288307189941, correct: True
in: torch.Size([181, 5120]), out: torch.Size([5120]), max_true: 0.9366151690483093, max_false: 0.9469583630561829, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9526444673538208, max_false: 0.9434937834739685, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9362471103668213, max_false: 0.9601954221725464, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8932341933250427, max_false: 0.8628854155540466, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9271483421325684, max_false: 0.8704503774642944, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8499597311019897, max_false: 0.7863439917564392, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9523671865463257, max_false: 0.9190594553947449, correct: True
