----- test -----
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8915137052536011, max_false: 0.86232590675354, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.8604081869125366, max_false: 0.8216172456741333, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9033788442611694, max_false: 0.8905373811721802, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8490254878997803, max_false: 0.8229840993881226, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9214379191398621, max_false: 0.8838850855827332, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9278825521469116, max_false: 0.8681537508964539, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9274998307228088, max_false: 0.9062461256980896, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8782060146331787, max_false: 0.910659909248352, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9057990312576294, max_false: 0.8860949277877808, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8823736310005188, max_false: 0.862747848033905, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8693176507949829, max_false: 0.8388646841049194, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8545848727226257, max_false: 0.8895575404167175, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9498229026794434, max_false: 0.8892215490341187, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8992667198181152, max_false: 0.8475226163864136, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9377404451370239, max_false: 0.8433849215507507, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9034834504127502, max_false: 0.8357282280921936, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9307802319526672, max_false: 0.9043598175048828, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8958393335342407, max_false: 0.8730696439743042, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9062691330909729, max_false: 0.861838161945343, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9145081043243408, max_false: 0.9151801466941833, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8838269710540771, max_false: 0.8773424625396729, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8270536065101624, max_false: 0.8291627168655396, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.943091094493866, max_false: 0.9341089129447937, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8368096351623535, max_false: 0.8392201662063599, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9277356266975403, max_false: 0.9132340550422668, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8176360130310059, max_false: 0.8219367265701294, correct: False
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9493883848190308, max_false: 0.9230801463127136, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9337847232818604, max_false: 0.9080622792243958, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9258111715316772, max_false: 0.8932852149009705, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.8817980289459229, max_false: 0.8822325468063354, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8797515034675598, max_false: 0.910106897354126, correct: False
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.870929479598999, max_false: 0.8842774629592896, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9313502311706543, max_false: 0.8664148449897766, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8259415626525879, max_false: 0.7881644368171692, correct: True
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.7251906991004944, max_false: 0.6312500834465027, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8753888010978699, max_false: 0.8670519590377808, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8712917566299438, max_false: 0.8243374228477478, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8582145571708679, max_false: 0.7986477613449097, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9600810408592224, max_false: 0.9446130990982056, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8940656781196594, max_false: 0.8870537281036377, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9439505338668823, max_false: 0.904252290725708, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8411110043525696, max_false: 0.8288400769233704, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9374173879623413, max_false: 0.9168784022331238, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8530650734901428, max_false: 0.8493531942367554, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9504584670066833, max_false: 0.8669525980949402, correct: True
in: torch.Size([181, 5120]), out: torch.Size([5120]), max_true: 0.8490409255027771, max_false: 0.8021017909049988, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9398523569107056, max_false: 0.8859492540359497, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8769412040710449, max_false: 0.8694530725479126, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9479533433914185, max_false: 0.8942095041275024, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8815155029296875, max_false: 0.8849602341651917, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9029057025909424, max_false: 0.8814677000045776, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7902908325195312, max_false: 0.7640437483787537, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9267107844352722, max_false: 0.9216538667678833, correct: True
in: torch.Size([104, 5120]), out: torch.Size([5120]), max_true: 0.8597885966300964, max_false: 0.8441639542579651, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9621479511260986, max_false: 0.8510544300079346, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9138525128364563, max_false: 0.8057665824890137, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9017834663391113, max_false: 0.8733609914779663, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8754573464393616, max_false: 0.8728839159011841, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9297335147857666, max_false: 0.8623492121696472, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8959209322929382, max_false: 0.8617057800292969, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9349474906921387, max_false: 0.8624284267425537, correct: True
in: torch.Size([111, 5120]), out: torch.Size([5120]), max_true: 0.8919609189033508, max_false: 0.8337658643722534, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9335931539535522, max_false: 0.937728226184845, correct: False
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.8518401384353638, max_false: 0.85066819190979, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9398123025894165, max_false: 0.9328116774559021, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.909959614276886, max_false: 0.9179733991622925, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9107440114021301, max_false: 0.8823491334915161, correct: True
