experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8952751159667969, max_false: 0.8631523847579956, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.857368528842926, max_false: 0.8202494382858276, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.917556881904602, max_false: 0.9053612947463989, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8456114530563354, max_false: 0.8053513765335083, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9265319108963013, max_false: 0.8813440799713135, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9309676885604858, max_false: 0.8713942766189575, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9404008388519287, max_false: 0.9189635515213013, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8854863047599792, max_false: 0.9142710566520691, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9032876491546631, max_false: 0.8808358311653137, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8755958676338196, max_false: 0.8582115769386292, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8870227932929993, max_false: 0.8626619577407837, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8594161868095398, max_false: 0.8923136591911316, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9481543302536011, max_false: 0.8894745111465454, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9047244191169739, max_false: 0.8539185523986816, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9438824653625488, max_false: 0.8502095937728882, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9046958684921265, max_false: 0.8314082026481628, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.935060441493988, max_false: 0.9093769788742065, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8829383850097656, max_false: 0.8610086441040039, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9176441431045532, max_false: 0.8790869116783142, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9185969233512878, max_false: 0.9145472049713135, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8793261051177979, max_false: 0.875720202922821, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8275678157806396, max_false: 0.8305052518844604, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9411246180534363, max_false: 0.933911144733429, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8472460508346558, max_false: 0.844374418258667, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9227398037910461, max_false: 0.9094529747962952, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8150909543037415, max_false: 0.8166522979736328, correct: False
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9551029801368713, max_false: 0.921346127986908, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9342710375785828, max_false: 0.9067198038101196, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9245914220809937, max_false: 0.8903319835662842, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.8858556747436523, max_false: 0.8748277425765991, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8809521198272705, max_false: 0.9062647819519043, correct: False
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.8693963885307312, max_false: 0.8839607834815979, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9255359172821045, max_false: 0.8617528080940247, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8216710090637207, max_false: 0.7793788313865662, correct: True
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.7357574105262756, max_false: 0.6406522989273071, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8896554708480835, max_false: 0.8683782815933228, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8581898212432861, max_false: 0.8066515326499939, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8554824590682983, max_false: 0.7949992418289185, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9618865847587585, max_false: 0.9451444149017334, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8977182507514954, max_false: 0.8842332363128662, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9435885548591614, max_false: 0.9056501984596252, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8414695262908936, max_false: 0.8285163640975952, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9454476833343506, max_false: 0.9212114810943604, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8587943911552429, max_false: 0.8548181653022766, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9487054944038391, max_false: 0.8728715777397156, correct: True
in: torch.Size([181, 5120]), out: torch.Size([5120]), max_true: 0.8508450388908386, max_false: 0.8008260726928711, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9319229125976562, max_false: 0.8972707390785217, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8692474961280823, max_false: 0.8429182171821594, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9527620077133179, max_false: 0.891907274723053, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.880247175693512, max_false: 0.8726078867912292, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9107179641723633, max_false: 0.8854981064796448, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7886368632316589, max_false: 0.7568879127502441, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9281429648399353, max_false: 0.9167327880859375, correct: True
in: torch.Size([104, 5120]), out: torch.Size([5120]), max_true: 0.8645524382591248, max_false: 0.8460341691970825, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9603797197341919, max_false: 0.8492582440376282, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9083622694015503, max_false: 0.7884888052940369, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9069364666938782, max_false: 0.8802419900894165, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8748395442962646, max_false: 0.8703482747077942, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9283024072647095, max_false: 0.8525581955909729, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8911844491958618, max_false: 0.8513766527175903, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9385473728179932, max_false: 0.8707433342933655, correct: True
in: torch.Size([111, 5120]), out: torch.Size([5120]), max_true: 0.8978331685066223, max_false: 0.8281357288360596, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9307976961135864, max_false: 0.9295419454574585, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.8528470396995544, max_false: 0.8498597741127014, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9414506554603577, max_false: 0.9322920441627502, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.8982323408126831, max_false: 0.9119336605072021, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9090211987495422, max_false: 0.8832807540893555, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.8998388648033142, max_false: 0.8880809545516968, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.924787700176239, max_false: 0.8867247700691223, correct: True
in: torch.Size([195, 5120]), out: torch.Size([5120]), max_true: 0.852052628993988, max_false: 0.8268250226974487, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8749827742576599, max_false: 0.8369296789169312, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9563243389129639, max_false: 0.9041205644607544, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9335934519767761, max_false: 0.9061571359634399, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8947678208351135, max_false: 0.8553846478462219, correct: True
in: torch.Size([181, 5120]), out: torch.Size([5120]), max_true: 0.9379136562347412, max_false: 0.9316682815551758, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9381466507911682, max_false: 0.9404886364936829, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9418964385986328, max_false: 0.9376780390739441, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8628479242324829, max_false: 0.8309376835823059, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9276564717292786, max_false: 0.8391484022140503, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8086025714874268, max_false: 0.7118557095527649, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.949640154838562, max_false: 0.8847097754478455, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8161793947219849, max_false: 0.8112929463386536, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9317455291748047, max_false: 0.9126526713371277, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9001994729042053, max_false: 0.8986247777938843, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9127478003501892, max_false: 0.8224207162857056, correct: True
