----- test -----
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7890254855155945, max_false: 0.6347120404243469, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9568906426429749, max_false: 0.8476656675338745, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.7571804523468018, max_false: 0.721639096736908, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9190331697463989, max_false: 0.92644864320755, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9501097202301025, max_false: 0.9486411213874817, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8659124970436096, max_false: 0.8450859189033508, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9626598954200745, max_false: 0.9606788754463196, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9166253209114075, max_false: 0.9054516553878784, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9552539587020874, max_false: 0.9340231418609619, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8701083660125732, max_false: 0.8929276466369629, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7751086354255676, max_false: 0.8142455816268921, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7011708617210388, max_false: 0.682020366191864, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.920952320098877, max_false: 0.861577570438385, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9390420913696289, max_false: 0.9121474027633667, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8763724565505981, max_false: 0.7724686861038208, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9668847918510437, max_false: 0.9290773868560791, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.965336263179779, max_false: 0.9550270438194275, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9527022838592529, max_false: 0.9520516395568848, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9108014106750488, max_false: 0.8482634425163269, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7920854687690735, max_false: 0.7781334519386292, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9756328463554382, max_false: 0.9731645584106445, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9182527661323547, max_false: 0.9233886003494263, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.961706280708313, max_false: 0.9604591131210327, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8408349752426147, max_false: 0.844850480556488, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9117990136146545, max_false: 0.9633132815361023, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9277086853981018, max_false: 0.9136248230934143, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.8662812113761902, max_false: 0.8492738008499146, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9632402062416077, max_false: 0.9455356001853943, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9537771940231323, max_false: 0.9408539533615112, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9245201349258423, max_false: 0.9183351993560791, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9303299784660339, max_false: 0.9418051242828369, correct: False
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.7541061043739319, max_false: 0.7446668744087219, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9498840570449829, max_false: 0.897489607334137, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8544521927833557, max_false: 0.8492350578308105, correct: True
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.4156985282897949, max_false: 0.4998307526111603, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9517877101898193, max_false: 0.9652725458145142, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9348970055580139, max_false: 0.9368953704833984, correct: False
