experiment run details:
  dataset: openworld
  model: pixtral openworld postfix
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.888821005821228, max_false: 0.860215425491333, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.85197514295578, max_false: 0.8139499425888062, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.8938664793968201, max_false: 0.8892467021942139, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8400350213050842, max_false: 0.8094294667243958, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9157124757766724, max_false: 0.8809796571731567, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9309199452400208, max_false: 0.8748434782028198, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9202710390090942, max_false: 0.9087463617324829, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8781763315200806, max_false: 0.9058707356452942, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9079781174659729, max_false: 0.8906177282333374, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8781080842018127, max_false: 0.8569065928459167, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8547320365905762, max_false: 0.8259608149528503, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8488492965698242, max_false: 0.882644772529602, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9450380802154541, max_false: 0.886553168296814, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8961909413337708, max_false: 0.843701183795929, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9326155185699463, max_false: 0.8383188843727112, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9046052098274231, max_false: 0.834160327911377, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9289699196815491, max_false: 0.9024930000305176, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9027194976806641, max_false: 0.8777362108230591, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9039412140846252, max_false: 0.8657964468002319, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9177278280258179, max_false: 0.9171743392944336, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8692375421524048, max_false: 0.8668849468231201, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8204157948493958, max_false: 0.8244194984436035, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9417130947113037, max_false: 0.9330493211746216, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8364099860191345, max_false: 0.829627275466919, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9173583984375, max_false: 0.9075600504875183, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8047637939453125, max_false: 0.8049251437187195, correct: False
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.951903760433197, max_false: 0.9267337918281555, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9306848645210266, max_false: 0.9063972234725952, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9158270955085754, max_false: 0.8890347480773926, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.8742194771766663, max_false: 0.879453718662262, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8751315474510193, max_false: 0.906423032283783, correct: False
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.8660781979560852, max_false: 0.8813232779502869, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9196600317955017, max_false: 0.8635751605033875, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8190703392028809, max_false: 0.7876143455505371, correct: True
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.7163099050521851, max_false: 0.6248341798782349, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8758150339126587, max_false: 0.860598087310791, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8650569319725037, max_false: 0.8312151432037354, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8564044237136841, max_false: 0.7877935767173767, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9533661007881165, max_false: 0.9358099699020386, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8772829174995422, max_false: 0.8714502453804016, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9420217275619507, max_false: 0.8978887796401978, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8394691348075867, max_false: 0.83126300573349, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.932361900806427, max_false: 0.9152141809463501, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8432474136352539, max_false: 0.8388835191726685, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9475473165512085, max_false: 0.8626556992530823, correct: True
in: torch.Size([181, 5120]), out: torch.Size([5120]), max_true: 0.8468575477600098, max_false: 0.7958512306213379, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9307403564453125, max_false: 0.8839271664619446, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8724761605262756, max_false: 0.8545083999633789, correct: True
