experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.871799111366272, max_false: 0.3635428249835968, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.8237853646278381, max_false: 0.24983011186122894, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.925281286239624, max_false: 0.3992618918418884, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7358259558677673, max_false: 0.16120167076587677, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8456869125366211, max_false: 0.5144882202148438, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8897015452384949, max_false: 0.3281197249889374, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9395904541015625, max_false: 0.3005308210849762, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8042774796485901, max_false: 0.23521533608436584, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8943339586257935, max_false: 0.5613091588020325, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8128563165664673, max_false: 0.34635311365127563, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8922915458679199, max_false: 0.4944995641708374, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.708794891834259, max_false: 0.6956191658973694, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9268034100532532, max_false: 0.33785220980644226, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8705276846885681, max_false: 0.29142412543296814, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9518635272979736, max_false: 0.2004982978105545, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8748612403869629, max_false: 0.2682986855506897, correct: True
