experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8643931150436401, max_false: 0.43096020817756653, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.8185746669769287, max_false: 0.3394995927810669, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9452129602432251, max_false: 0.48690882325172424, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.6684606671333313, max_false: 0.16688214242458344, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8607903718948364, max_false: 0.5214608311653137, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9007793068885803, max_false: 0.3473708927631378, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9409917593002319, max_false: 0.38736820220947266, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8061624765396118, max_false: 0.25256097316741943, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8976443409919739, max_false: 0.6814633011817932, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8137215375900269, max_false: 0.37123337388038635, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8716594576835632, max_false: 0.6148567199707031, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7518379092216492, max_false: 0.7659561038017273, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9418520331382751, max_false: 0.2827616333961487, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8672425150871277, max_false: 0.375357449054718, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9460803270339966, max_false: 0.25239455699920654, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8748579621315002, max_false: 0.24004824459552765, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8180205821990967, max_false: 0.7270709276199341, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8029016256332397, max_false: 0.17042285203933716, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8439956307411194, max_false: 0.31185558438301086, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8652739524841309, max_false: 0.49069851636886597, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7207862138748169, max_false: 0.7812961339950562, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7170221209526062, max_false: 0.4366169571876526, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7824231386184692, max_false: 0.8325743675231934, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.800512433052063, max_false: 0.2714187502861023, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.84488844871521, max_false: 0.28351250290870667, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.6902130842208862, max_false: 0.5190878510475159, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9607648849487305, max_false: 0.37332773208618164, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8268161416053772, max_false: 0.6199501752853394, correct: True
