experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.778304398059845, max_false: 0.6350051760673523, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9567373991012573, max_false: 0.8454620838165283, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.8628033399581909, max_false: 0.8426494598388672, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9198312163352966, max_false: 0.933498203754425, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9495970606803894, max_false: 0.9526785016059875, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8334253430366516, max_false: 0.8277490139007568, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9643646478652954, max_false: 0.9613650441169739, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9170950651168823, max_false: 0.9060961604118347, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9569262266159058, max_false: 0.9398853778839111, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8700227737426758, max_false: 0.8920592665672302, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7739531397819519, max_false: 0.8151337504386902, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7108492255210876, max_false: 0.6846190094947815, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9175235629081726, max_false: 0.8611621856689453, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9381380677223206, max_false: 0.909989595413208, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8795569539070129, max_false: 0.7762479782104492, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9670896530151367, max_false: 0.9257498979568481, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9649010300636292, max_false: 0.9546920657157898, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9553004503250122, max_false: 0.950293242931366, correct: True
