----- test -----
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7461565136909485, max_false: 0.127879336476326, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.6969140768051147, max_false: 0.16368331015110016, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.8893997669219971, max_false: 0.015080399811267853, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.6045688390731812, max_false: -0.08000736683607101, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7527440786361694, max_false: -0.10529257357120514, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.6289562582969666, max_false: -0.09854820370674133, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.789924681186676, max_false: 0.18108893930912018, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.6440086364746094, max_false: -0.11988066136837006, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8467134237289429, max_false: -0.09131477028131485, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.4264619052410126, max_false: 0.18674294650554657, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7263105511665344, max_false: -0.15196070075035095, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.24447685480117798, max_false: 0.4087696969509125, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8225926160812378, max_false: -0.14771129190921783, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.6896278262138367, max_false: -0.14698700606822968, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.902030348777771, max_false: -0.187898650765419, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.7119224667549133, max_false: -0.042799513787031174, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.49599963426589966, max_false: 0.2579478621482849, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8095933794975281, max_false: -0.2231426239013672, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7321281433105469, max_false: -0.1394665688276291, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.6991478800773621, max_false: -0.07983825355768204, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.42357203364372253, max_false: 0.06519205868244171, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.5390729308128357, max_false: -0.079371377825737, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7929602265357971, max_false: 0.12571600079536438, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7082586884498596, max_false: -0.11003722995519638, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7269599437713623, max_false: 0.09452062100172043, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.4316983222961426, max_false: 0.08461087197065353, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.912659227848053, max_false: -0.13080157339572906, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.730645477771759, max_false: -0.08501896262168884, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8247420191764832, max_false: -0.02965778298676014, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.7555244565010071, max_false: -0.11941979825496674, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.29732292890548706, max_false: 0.19874969124794006, correct: True
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.5651935338973999, max_false: 0.11153353005647659, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.944169282913208, max_false: -0.20209293067455292, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.6282302141189575, max_false: -0.13435418903827667, correct: True
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.25968924164772034, max_false: 0.23340515792369843, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.6389461755752563, max_false: 0.15020836889743805, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.6759042739868164, max_false: 0.03596247732639313, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.6281143426895142, max_false: -0.09078372269868851, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.849888026714325, max_false: -0.0131235271692276, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.6413359045982361, max_false: 0.05308438092470169, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8801194429397583, max_false: -0.07410351186990738, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.5114517211914062, max_false: -0.07312564551830292, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.880555272102356, max_false: 0.09334183484315872, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.564184844493866, max_false: 0.05524766817688942, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.91021728515625, max_false: -0.165244460105896, correct: True
in: torch.Size([181, 5120]), out: torch.Size([5120]), max_true: 0.6157421469688416, max_false: -0.153593972325325, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.93808513879776, max_false: -0.1451798379421234, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.6852366328239441, max_false: -0.1394570916891098, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.893741250038147, max_false: -0.30582332611083984, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.6515008807182312, max_false: -0.02287171222269535, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8167572021484375, max_false: -0.04853954166173935, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.5500842928886414, max_false: -0.08611688762903214, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.4600100517272949, max_false: 0.31636711955070496, correct: True
in: torch.Size([104, 5120]), out: torch.Size([5120]), max_true: 0.569152295589447, max_false: -0.05366376042366028, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9326417446136475, max_false: -0.1936318576335907, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.7283979654312134, max_false: -0.09316578507423401, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.3757344186306, max_false: 0.330305814743042, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7384153604507446, max_false: -0.07593300193548203, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.86476731300354, max_false: -0.17482270300388336, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.7729519009590149, max_false: -0.2109394520521164, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8891505002975464, max_false: -0.18511340022087097, correct: True
in: torch.Size([111, 5120]), out: torch.Size([5120]), max_true: 0.7007655501365662, max_false: -0.12390410155057907, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.4332042336463928, max_false: 0.35650187730789185, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.5540797710418701, max_false: -0.04899996519088745, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9009423851966858, max_false: -0.1617697775363922, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.6704509854316711, max_false: -0.16918346285820007, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7366204261779785, max_false: 0.021321063861250877, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.5368831753730774, max_false: -0.0007664700970053673, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9242271780967712, max_false: -0.15103714168071747, correct: True
in: torch.Size([195, 5120]), out: torch.Size([5120]), max_true: 0.700880229473114, max_false: -0.1636282056570053, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.4817684590816498, max_false: 0.11037632822990417, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8231862187385559, max_false: -0.02650868520140648, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8740434050559998, max_false: -0.12283696234226227, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7683736681938171, max_false: -0.06348896026611328, correct: True
in: torch.Size([181, 5120]), out: torch.Size([5120]), max_true: 0.7112923264503479, max_false: 0.2508867084980011, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7597308158874512, max_false: 0.3432583212852478, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9219616651535034, max_false: 0.0061864228919148445, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.670406699180603, max_false: -0.23857329785823822, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8607156276702881, max_false: -0.018275881186127663, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.5922295451164246, max_false: -0.10677759349346161, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9335170984268188, max_false: -0.1897364854812622, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.6212316751480103, max_false: -0.2632231116294861, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8174440264701843, max_false: -0.1305471956729889, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.510844349861145, max_false: 0.2696121335029602, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.915220320224762, max_false: -0.217960387468338, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.5860117673873901, max_false: -0.0217731986194849, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8659824132919312, max_false: -0.08610603958368301, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.6607198119163513, max_false: 0.18122994899749756, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.6959306001663208, max_false: 0.015896182507276535, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.6600046157836914, max_false: 0.02664017304778099, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.17764946818351746, max_false: 0.48127979040145874, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.054013535380363464, max_false: -0.03536909073591232, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8891115188598633, max_false: -0.20149847865104675, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.5975920557975769, max_false: -0.12040681391954422, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8116961717605591, max_false: -0.026064442470669746, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.17378677427768707, max_false: 0.6556517481803894, correct: False
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8912625908851624, max_false: -0.19493409991264343, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.40962913632392883, max_false: 0.2076941430568695, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9377639889717102, max_false: -0.08434230834245682, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.6405141353607178, max_false: 0.015546491369605064, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9356417655944824, max_false: -0.08631131052970886, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7353893518447876, max_false: -0.1283874809741974, correct: True
