experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7516235113143921, max_false: 0.1357768177986145, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.7022387385368347, max_false: 0.18237292766571045, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.894889235496521, max_false: 0.007760650012642145, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.6294071674346924, max_false: -0.0930553451180458, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7918257713317871, max_false: -0.10783951729536057, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.6316869258880615, max_false: -0.09085655212402344, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8146403431892395, max_false: 0.1256181299686432, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.6537017226219177, max_false: -0.10291168093681335, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8513129949569702, max_false: -0.1041853055357933, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.5316473841667175, max_false: 0.12467043846845627, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7000308036804199, max_false: -0.12157713621854782, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.3378354609012604, max_false: 0.39119935035705566, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8473984003067017, max_false: -0.15628916025161743, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7333453297615051, max_false: -0.1573621928691864, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9088641405105591, max_false: -0.18918238580226898, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.7334993481636047, max_false: -0.06385732442140579, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.2825649678707123, max_false: 0.4906325936317444, correct: False
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8193216323852539, max_false: -0.21568530797958374, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7303866744041443, max_false: -0.1512557715177536, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7346538305282593, max_false: -0.11346901953220367, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.4045717716217041, max_false: 0.16702504456043243, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.5441886782646179, max_false: -0.061425935477018356, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7691817283630371, max_false: 0.18008553981781006, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7146125435829163, max_false: -0.09994981437921524, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.6676312685012817, max_false: 0.13394881784915924, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.4379364550113678, max_false: 0.18832232058048248, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9121806621551514, max_false: -0.14135397970676422, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.7594406008720398, max_false: -0.09370577335357666, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8398507833480835, max_false: -0.03927699476480484, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.7467511892318726, max_false: -0.09990622848272324, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.26801010966300964, max_false: 0.29696837067604065, correct: False
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.6429449319839478, max_false: 0.02194618061184883, correct: True
