----- test -----
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7513173818588257, max_false: 0.6152179837226868, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9542979001998901, max_false: 0.8597152829170227, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.948407769203186, max_false: 0.9588746428489685, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9227515459060669, max_false: 0.9514588117599487, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9532968401908875, max_false: 0.9519073963165283, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8359889984130859, max_false: 0.8173488974571228, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9736427664756775, max_false: 0.9655390977859497, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9159247279167175, max_false: 0.9412297010421753, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9649872183799744, max_false: 0.9526359438896179, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.864639401435852, max_false: 0.8852896690368652, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9252002239227295, max_false: 0.9099706411361694, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8065662980079651, max_false: 0.7706170082092285, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8850694894790649, max_false: 0.8655359148979187, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9329285621643066, max_false: 0.9222128987312317, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8695576786994934, max_false: 0.7811050415039062, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9658141732215881, max_false: 0.9432202577590942, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.963661253452301, max_false: 0.9538843631744385, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9560506343841553, max_false: 0.9492068886756897, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9023519158363342, max_false: 0.8249759078025818, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9500937461853027, max_false: 0.8982770442962646, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9752612113952637, max_false: 0.9736141562461853, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9171109795570374, max_false: 0.922225296497345, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9657771587371826, max_false: 0.9608042240142822, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8287817239761353, max_false: 0.8357460498809814, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.916422963142395, max_false: 0.9717967510223389, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9380938410758972, max_false: 0.9153225421905518, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.97962486743927, max_false: 0.968644380569458, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9623364806175232, max_false: 0.9525520205497742, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9599336385726929, max_false: 0.9424072504043579, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9221143126487732, max_false: 0.9210751056671143, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9467427134513855, max_false: 0.9530264139175415, correct: False
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.9288882613182068, max_false: 0.9279687404632568, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9424159526824951, max_false: 0.89095139503479, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8369438052177429, max_false: 0.8411341309547424, correct: False
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.43751445412635803, max_false: 0.4996626675128937, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9598998427391052, max_false: 0.9658257365226746, correct: False
