experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: interleaved

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1 | full: ["Analysis: The images in cat_2 show people walking dogs on leashes, typically in an outdoor street setting. The dogs are generally at arm's length or further away from the person. The images in cat_1 show people holding or closely interacting with dogs, often in a more intimate or caring manner (e.g., cuddling, bathing).\nRule: Cat_2 images depict people walking dogs on leashes at a distance, while cat_1 images depict people closely holding or interacting with dogs.\nTest Image: The test image shows a dog sitting and looking at the camera, with a person partially visible in the background. The dog is not on a leash and is not being walked.\nConclusion: cat_1"]'
1 | expected:'cat_1' | got='cat_1 | full: ["Analysis: The images in cat_2 show people walking dogs on leashes in an outdoor setting, typically a street or sidewalk. The dogs are generally at arm's length from the person. The images in cat_1 show people closely interacting with dogs, such as holding, kissing, or bathing them.\nRule: Cat_2 images depict people walking dogs on leashes at a distance, while cat_1 images show close physical interaction with the dogs.\nTest Image: The test image shows two people kissing a dog on the face, with their faces very close to the dog's.\nConclusion: cat_1"]'
2 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 show people embracing, with their faces close together but not necessarily touching. The images in cat_1 show people embracing and kissing or with a significant face-to-face contact.\nRule: Cat_2 images depict embraces without kissing or direct face-to-face contact, while cat_1 images depict embraces with kissing or direct face-to-face contact.\nTest Image: The test image shows two people embracing with their faces very close, almost touching, but not kissing.\nConclusion: cat_2']'
3 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 depict people embracing, with their faces not directly touching. The images in cat_1 depict people kissing or with faces directly touching during an embrace.\nRule: Cat_2 images show embraces without face-to-face contact, while cat_1 images show embraces with face-to-face contact (kissing).\nTest Image: The test image shows two people kissing.\nConclusion: cat_1']'
4 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 show motorcycles parked or moving slowly in a line, often with multiple bikes and people standing or walking around. The motorcycles are generally on the ground and not performing stunts. The images in cat_1 show motorcycles performing stunts, jumping, or racing.\nRule: Cat_2 images depict motorcycles stationary or moving slowly in a line, while cat_1 images depict motorcycles performing stunts or racing.\nTest Image: The test image shows motorcycles lined up, with riders seated, and not performing any stunts.\nConclusion: cat_2']'
5 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 show groups of people with motorcycles on the road, often in a parade or casual setting. The motorcycles are generally standard road bikes. The images in cat_1 show motorcycles performing stunts or jumps, often in a competitive or performance context. The bikes are typically dirt bikes or racing motorcycles.\nRule: Cat_2 images depict motorcycles being ridden on roads with multiple people, while cat_1 images depict motorcycles performing stunts or jumps.\nTest Image: The test image shows a woman posing with a Harley Davidson motorcycle, appearing to be an advertisement or pin-up style image. It does not show the motorcycle being ridden on a road or performing a stunt.\nConclusion: cat_1']'
6 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 show motorcycles being driven on a paved road, typically in a group or formation, and appear to be street bikes. The images in cat_1 show motorcycles performing stunts, jumping, or off-road riding.\nRule: Cat_2 images depict motorcycles on paved roads, while cat_1 images depict motorcycles off-road or performing stunts.\nTest Image: The test image shows a group of motorcycles on a paved road.\nConclusion: cat_2']'
7 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 show motorcycles being ridden on a road, typically in a group or during a race, with the focus on the riding action. The images in cat_1 show motorcycles performing stunts, being repaired, or being cleaned – actions not directly related to standard road riding.\nRule: Cat_2 images depict motorcycles being ridden on a road, while cat_1 images depict motorcycles in other scenarios (stunts, repair, cleaning).\nTest Image: The test image shows a person washing a motorcycle.\nConclusion: cat_1']'
8 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The `cat_2` images all feature people wearing floral headwear (crowns or wreaths of flowers). The `cat_1` images do not contain any floral headwear.\nRule: The presence of floral headwear on a person in the image.\nTest Image: The test image shows a couple, and neither of them is wearing any floral headwear.\nConclusion: cat_1']'
9 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 all feature people wearing flower crowns or floral headpieces. The images in cat_1 do not have anyone wearing a flower crown or floral headpiece.\nRule: The presence of a flower crown or floral headpiece on a person in the image.\nTest Image: The test image shows a person washing a dog in a tub. The person is not wearing a flower crown or any floral headpiece.\nConclusion: cat_1']'
10 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 show people typing on laptops, with the laptop being used in a typical manner – for writing, working, or general use. The images in cat_1 show people disassembling or repairing laptops, or using laptops in an unusual way (e.g., holding an X-ray up to the screen).\nRule: Cat_2 images depict people using laptops for normal computing tasks, while cat_1 images depict people repairing or modifying laptops, or using them in an atypical manner.\nTest Image: The test image shows a woman sitting on a couch and using a laptop. She appears to be typing or working on it in a normal way.\nConclusion: cat_2']'
