experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all show people walking dogs on leashes. The cat_1 images show people holding or interacting closely with dogs, often in a more intimate or caregiving manner (e.g., bathing, cuddling, examining).\nRule: The presence of a leash connecting a person to a dog.\nTest Image: The test image shows a dog sitting and looking at the camera, wearing a collar but not connected to a leash.\nConclusion: cat_1']'
1 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images show people walking dogs on leashes in outdoor settings. The cat_1 images show people holding or closely interacting with dogs, often in indoor or more intimate settings.\nRule: The presence of a leash connecting a person to a dog.\nTest Image: The test image shows two people kissing a dog on both sides of its face, with no leash visible.\nConclusion: cat_1']'
2 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all depict people embracing or hugging, with their faces close together, often appearing to be about to kiss or in a very intimate embrace. The cat_1 images also show embraces, but they are less intimate, often involving a child or a more casual interaction, and do not have the same level of face-to-face closeness.\nRule: Cat_2 images show intimate embraces with faces very close, suggesting a romantic or deeply affectionate connection. Cat_1 images show embraces that are less intimate or involve interactions beyond a romantic connection.\nTest Image: The test image shows a couple embracing with their faces very close, appearing to be about to kiss.\nConclusion: cat_2']'
3 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images depict people embracing, with their faces close but not necessarily touching. The cat_1 images depict people kissing.\nRule: Cat_2 images show embraces without kissing, while cat_1 images show kissing.\nTest Image: The test image shows two people kissing.\nConclusion: cat_1']'
4 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images show motorcycles on the ground, often in a group or line, with riders mostly stationary or moving slowly. The cat_1 images show motorcycles in the air, performing jumps or stunts.\nRule: The presence or absence of the motorcycle being airborne. Cat_2 images have motorcycles on the ground, while cat_1 images have motorcycles in the air.\nTest Image: The test image shows a line of motorcycles on the ground with riders seated.\nConclusion: cat_2']'
5 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images show groups of people on motorcycles in a street or public setting, often in a parade-like formation. The cat_1 images show individuals performing stunts or racing on motorcycles, often in a more dynamic and action-oriented pose.\nRule: The presence of multiple motorcycles and people in a static or slow-moving group setting defines cat_2. Individual motorcycle stunts or racing define cat_1.\nTest Image: The test image depicts a single person posing with a motorcycle in a stylized, illustrative manner, resembling an advertisement.\nConclusion: cat_1']'
6 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images show motorcycles driving on a road, appearing to be part of a group or parade, and are generally stable on the road. The cat_1 images show motorcycles performing stunts, jumping, or are in the air.\nRule: The rule is whether the motorcycle is on the ground and driving normally on a road (cat_2) or performing a stunt/jumping (cat_1).\nTest Image: The test image shows motorcycles driving on a road, appearing to be part of a group.\nConclusion: cat_2']'
7 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all show motorcycles being ridden on a road, often in a group or during a race. The cat_1 images show motorcycles performing stunts or being worked on, not simply being ridden on a road.\nRule: The images in cat_2 show motorcycles being ridden on a road, while cat_1 images show motorcycles performing stunts or being maintained.\nTest Image: The test image shows a person washing a motorcycle. This is a maintenance activity, not riding on a road.\nConclusion: cat_1']'
8 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all feature people wearing flower crowns or floral headpieces. The cat_1 images do not have anyone wearing a flower crown or floral headpiece.\nRule: The presence of a flower crown or floral headpiece on a person in the image.\nTest Image: The test image shows a couple, and neither of them is wearing a flower crown or any floral headpiece.\nConclusion: cat_1']'
9 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all feature people wearing flower crowns or floral arrangements in their hair. The cat_1 images do not have anyone wearing a flower crown or floral arrangement.\nRule: The presence of a flower crown or floral arrangement on a person in the image.\nTest Image: The test image shows a person washing a dog in a tub, and they are not wearing a flower crown or any floral arrangement.\nConclusion: cat_1']'
10 | expected:'cat_2' | got='cat_2 | full: ["Analysis: The cat_2 images show people typing on laptops, with the laptop being the primary focus and the person's hands clearly visible on the keyboard. The cat_1 images show people disassembling or working on the internal components of laptops, or with other objects in front of the laptop screen.\nRule: The presence or absence of visible keyboard typing. Cat_2 images show people actively typing on the keyboard, while cat_1 images do not.\nTest Image: The test image shows a person sitting on a couch and typing on a laptop. The hands are visible on the keyboard.\nConclusion: cat_2"]'
11 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all show people using laptops in indoor settings, appearing to be working or casually using them. The cat_1 images show people disassembling or repairing laptops, or using laptops in unusual contexts (like with an X-ray).\nRule: Cat_2 images show people using laptops normally in indoor settings. Cat_1 images show laptops being repaired or used in an unusual way.\nTest Image: The test image shows a person using a laptop while sitting outdoors on a stool.\nConclusion: cat_1']'
12 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all show people riding motorcycles on paved roads, often in a racing or touring context. The cat_1 images show people working on or around dirt bikes, often in a pit stop or training scenario.\nRule: The presence of paved roads vs. dirt/off-road terrain.\nTest Image: The test image shows people riding dirt bikes on a dirt track.\nConclusion: cat_1']'
13 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The cat_2 images all show motorcycles in motion, typically in a race or speed setting, with a focus on the rider and the dynamic action. The cat_1 images show motorcycles being worked on or stationary with people around them, often in a pit stop or maintenance scenario.\nRule: Cat_2 images depict motorcycles in motion, while cat_1 images depict motorcycles stationary and being worked on.\nTest Image: The test image shows a person riding a motorcycle, in motion.\nConclusion: cat_2']'
14 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images depict motorcycles on paved roads, often in urban or scenic settings, with riders typically dressed in street clothes or formal attire. The cat_1 images show motorcycles in off-road or racing environments, with riders wearing protective gear and the bikes often airborne or in dynamic, action-oriented poses.\nRule: The presence of motorcycles on paved roads versus off-road/racing environments.\nTest Image: The test image shows motorcycles on a paved road in front of a national park sign, with riders wearing helmets and jackets.\nConclusion: cat_2']'
