experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: direct
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
1 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
2 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
3 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
4 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
5 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
6 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
7 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
8 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
9 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
10 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
11 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
12 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
13 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
14 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
15 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
16 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
17 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
18 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
19 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
20 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
21 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
22 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
23 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
24 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
25 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
26 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
27 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
28 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
29 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
30 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
31 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
32 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
33 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
34 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
35 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
36 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
37 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
38 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
39 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
40 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
41 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
42 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
43 | expected:'cat_1' | got='cat_2 | full: [' cat_2\n\n**Reasoning:**\n\nThe rule appears to be whether or not there is a high-backed chair visible in the image. All the images in `cat_2` have at least one high-backed chair visible. All the images in `cat_1` do not have a high-backed chair. The test image has a high-backed chair, therefore it belongs to `cat_2`.']'
44 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
45 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
46 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
47 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
48 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
49 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
50 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
51 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
52 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
53 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
54 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
55 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
56 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
57 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
58 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
59 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
60 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
61 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
62 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
63 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
64 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
65 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
66 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
67 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
68 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
69 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
70 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
71 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
72 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
73 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
74 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
75 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
76 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
77 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
78 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
79 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
80 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
81 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
82 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
83 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
84 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
85 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
86 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
87 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
88 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
89 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
90 | expected:'cat_2' | got='cat_2 | full: [' cat_2\n\n**Reasoning:**\n\nThe rule appears to be whether or not the image contains people holding drinks (glasses, mugs, cups). The cat_2 images all feature people holding drinks. The cat_1 images feature people preparing drinks or with drinks in the background, but not actively *holding* them. The test image shows people holding drinks, therefore it belongs to cat_2.']'
91 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
92 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
93 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
94 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
95 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
96 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
97 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
98 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
99 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
100 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
101 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
102 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
103 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
104 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
105 | expected:'cat_1' | got='cat_1 | full: [' cat_1\n\n**Reasoning:**\n\nThe rule appears to be whether the person is kissing the dog. In all the `cat_2` images, the person is actively kissing the dog on the mouth or nose. In all the `cat_1` images, the person is not kissing the dog. The test image shows a person walking a dog on a leash, and there is no kissing occurring. Therefore, the test image belongs to `cat_1`.']'
106 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
107 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
108 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
109 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
110 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
111 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
112 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
113 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
114 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
115 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
116 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
117 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
118 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
119 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
120 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
121 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
122 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
123 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
124 | expected:'cat_2' | got='cat_1 | full: [' cat_1\n\n**Reasoning:**\n\nThe rule appears to be whether or not the motorcycle is leaning/tilted significantly. \n\n* **cat_2 images:** Show motorcycles leaning heavily into a turn, often in a race setting with multiple bikes.\n* **cat_1 images:** Show motorcycles in the air, or with a rider falling off, indicating a loss of control and not a controlled lean.\n\nThe test image shows a motorcycle upright and stable, with the rider waving. It does not exhibit the significant lean seen in the cat_2 images. Therefore, it belongs to cat_1.']'
125 | expected:'cat_1' | got='cat_1 | full: [' cat_1\n\n**Reasoning:**\n\nThe rule appears to be whether the motorcycle is in a racing/competition setting or not. \n\n* **cat_2 images** all depict motorcycles in a racing or competition environment (race track, multiple bikes racing together, etc.).\n* **cat_1 images** show motorcycles involved in crashes or stunts, or a single bike not in a race.\n\nThe test image shows a motorcycle being worked on by someone on the side of the road. This is not a racing or competition setting. Therefore, it belongs to cat_1.']'
126 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
127 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
128 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
129 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
130 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
131 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
132 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
133 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
134 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
135 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
136 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
137 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
138 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
139 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
140 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
141 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
142 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
143 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
144 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
145 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
146 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
147 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
148 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
149 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
150 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
151 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
152 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
153 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
154 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
