experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: interleaved

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7540392279624939, max_false: 0.8279165625572205, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8231562376022339, max_false: 0.7473400831222534, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7577850818634033, max_false: 0.8252393007278442, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8286707997322083, max_false: 0.7614116668701172, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7524932622909546, max_false: 0.8141884207725525, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8220096826553345, max_false: 0.7619626522064209, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7368327379226685, max_false: 0.8123292326927185, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8270098567008972, max_false: 0.7593231797218323, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7654322385787964, max_false: 0.8217684030532837, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8219812512397766, max_false: 0.7583951950073242, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7733880281448364, max_false: 0.8294699192047119, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8285459280014038, max_false: 0.7607700228691101, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7640160918235779, max_false: 0.8378176093101501, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.82937091588974, max_false: 0.7575254440307617, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7539539337158203, max_false: 0.8291681408882141, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8200022578239441, max_false: 0.751544713973999, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7525657415390015, max_false: 0.8100091218948364, correct: False
