experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: batched

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8698909878730774, max_false: 0.8603445887565613, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8768026828765869, max_false: 0.8704015016555786, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8876895904541016, max_false: 0.8806406259536743, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8777968883514404, max_false: 0.8675147294998169, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8614339232444763, max_false: 0.8417249321937561, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8419358134269714, max_false: 0.8542727828025818, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8677043318748474, max_false: 0.8448802828788757, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8420447707176208, max_false: 0.8485254049301147, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8678766489028931, max_false: 0.8650493621826172, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8339827656745911, max_false: 0.8192919492721558, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8433986902236938, max_false: 0.8583227396011353, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8653712272644043, max_false: 0.832618772983551, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.841655433177948, max_false: 0.8303459882736206, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8370320796966553, max_false: 0.8675647974014282, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8663656711578369, max_false: 0.8531302809715271, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.853828489780426, max_false: 0.8569726347923279, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8848824501037598, max_false: 0.8391171097755432, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8720457553863525, max_false: 0.8518867492675781, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8984940052032471, max_false: 0.850253701210022, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.816616952419281, max_false: 0.8304378390312195, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8242354989051819, max_false: 0.8142863512039185, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8668534755706787, max_false: 0.8592976927757263, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8442815542221069, max_false: 0.8530434370040894, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8938224911689758, max_false: 0.838928759098053, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8585647940635681, max_false: 0.8429471850395203, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8536542057991028, max_false: 0.8573267459869385, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8782381415367126, max_false: 0.8784902691841125, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8603390455245972, max_false: 0.8399098515510559, correct: True
