experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: single

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9478925466537476, max_false: 0.9424677491188049, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9502198100090027, max_false: 0.9484350681304932, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9795703291893005, max_false: 0.9665617346763611, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9631279110908508, max_false: 0.9433891177177429, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9491216540336609, max_false: 0.9249899983406067, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9119741916656494, max_false: 0.9242092967033386, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9787227511405945, max_false: 0.9547426700592041, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9498528242111206, max_false: 0.9371342658996582, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9606350660324097, max_false: 0.9564834237098694, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9723430275917053, max_false: 0.9294358491897583, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9488822817802429, max_false: 0.95237797498703, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9579081535339355, max_false: 0.9481104612350464, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.8821572065353394, max_false: 0.8983012437820435, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.945785403251648, max_false: 0.9465470910072327, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9525066614151001, max_false: 0.9327520132064819, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9470750689506531, max_false: 0.9489895701408386, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9750615954399109, max_false: 0.951737105846405, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9556405544281006, max_false: 0.9454457759857178, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9796864986419678, max_false: 0.9303295612335205, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.8991094827651978, max_false: 0.90239018201828, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9197834134101868, max_false: 0.9159405827522278, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9561510682106018, max_false: 0.947502076625824, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9543941020965576, max_false: 0.9425941109657288, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9673201441764832, max_false: 0.9339807033538818, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9513707160949707, max_false: 0.9417983889579773, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9371815919876099, max_false: 0.9336515069007874, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9769760370254517, max_false: 0.9651625156402588, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9491089582443237, max_false: 0.9385751485824585, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9653079509735107, max_false: 0.9426624774932861, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9286068677902222, max_false: 0.9162266850471497, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9490447640419006, max_false: 0.925294041633606, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9647054672241211, max_false: 0.9385553002357483, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9615945816040039, max_false: 0.9722064137458801, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9611638188362122, max_false: 0.9671915769577026, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9693253040313721, max_false: 0.9493486881256104, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9431185722351074, max_false: 0.9457741975784302, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9657995700836182, max_false: 0.9485445618629456, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9582400918006897, max_false: 0.9607096314430237, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9773343205451965, max_false: 0.9757223129272461, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9567587971687317, max_false: 0.9483725428581238, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9490343928337097, max_false: 0.9369320869445801, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9417706727981567, max_false: 0.9434889554977417, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9636101722717285, max_false: 0.9597283005714417, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.960713267326355, max_false: 0.9640332460403442, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9628333449363708, max_false: 0.9531879425048828, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9470440149307251, max_false: 0.9494198560714722, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9671453237533569, max_false: 0.9564003944396973, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), len: (6, 6), max_true: 0.9569150805473328, max_false: 0.9465950727462769, correct: True
