experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: vision
  prompt structure: batched

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9097487926483154, max_false: 0.8894559741020203, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9134652018547058, max_false: 0.8677005171775818, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9543128609657288, max_false: 0.9136734008789062, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9118661284446716, max_false: 0.876514732837677, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8779690265655518, max_false: 0.8488188982009888, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8762279152870178, max_false: 0.8810039758682251, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9393880367279053, max_false: 0.9109804630279541, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9122568368911743, max_false: 0.89462810754776, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9190365076065063, max_false: 0.8898359537124634, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9225300550460815, max_false: 0.8956782817840576, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8479099869728088, max_false: 0.8637515306472778, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8908613920211792, max_false: 0.8841831088066101, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8341876268386841, max_false: 0.8341662883758545, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.903996467590332, max_false: 0.9019989371299744, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9168148040771484, max_false: 0.8889707922935486, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.917296826839447, max_false: 0.9388434290885925, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9563541412353516, max_false: 0.8912217617034912, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9224469661712646, max_false: 0.879320502281189, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9628855586051941, max_false: 0.9026406407356262, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9091469049453735, max_false: 0.9000922441482544, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8875459432601929, max_false: 0.8541964292526245, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9238235354423523, max_false: 0.8879960775375366, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9263722896575928, max_false: 0.8854377269744873, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9271778464317322, max_false: 0.9003539085388184, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9332261681556702, max_false: 0.8962225317955017, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8816577792167664, max_false: 0.852588951587677, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9490108489990234, max_false: 0.931153416633606, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.906049907207489, max_false: 0.8762694597244263, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9198191165924072, max_false: 0.8973937630653381, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8252750635147095, max_false: 0.7864025831222534, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9216788411140442, max_false: 0.8916918635368347, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9390514492988586, max_false: 0.9004243612289429, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.910178542137146, max_false: 0.904000997543335, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8814370632171631, max_false: 0.8977022171020508, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9518651962280273, max_false: 0.9253071546554565, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9018955826759338, max_false: 0.9125592112541199, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9257217049598694, max_false: 0.8883774876594543, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8668246269226074, max_false: 0.8839612603187561, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9521082639694214, max_false: 0.9439736008644104, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9052779078483582, max_false: 0.8672321438789368, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8379346132278442, max_false: 0.8203064799308777, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8680720925331116, max_false: 0.8552423715591431, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8738590478897095, max_false: 0.8573797345161438, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9014055132865906, max_false: 0.9012617468833923, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9276233315467834, max_false: 0.9134323596954346, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8847974538803101, max_false: 0.8874949812889099, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9446156024932861, max_false: 0.9277658462524414, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8749772906303406, max_false: 0.8806435465812683, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9336333274841309, max_false: 0.8980479836463928, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9001879692077637, max_false: 0.862063467502594, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8280587196350098, max_false: 0.8172730803489685, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9084770083427429, max_false: 0.9495739936828613, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.949154794216156, max_false: 0.8846612572669983, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8880153894424438, max_false: 0.8649919033050537, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9267780780792236, max_false: 0.9226973652839661, correct: True
