experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: final
  prompt structure: interleaved

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7876378297805786, max_false: 0.8369355201721191, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8296716213226318, max_false: 0.7567692399024963, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7295380234718323, max_false: 0.7978712320327759, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8511080145835876, max_false: 0.7673795223236084, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7514824867248535, max_false: 0.816789448261261, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8111909627914429, max_false: 0.7458089590072632, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.734784722328186, max_false: 0.794828474521637, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8332265615463257, max_false: 0.7696557641029358, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.732431948184967, max_false: 0.8082532286643982, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8205212354660034, max_false: 0.7463914155960083, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7433494329452515, max_false: 0.8065324425697327, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8309681415557861, max_false: 0.7531147003173828, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7518540620803833, max_false: 0.8195502161979675, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8182239532470703, max_false: 0.7379855513572693, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7672749757766724, max_false: 0.8150401711463928, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8338372111320496, max_false: 0.7649160623550415, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7432482242584229, max_false: 0.8181038498878479, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.812551736831665, max_false: 0.7331092357635498, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7602788209915161, max_false: 0.834007978439331, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8357877731323242, max_false: 0.7626538276672363, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7602807283401489, max_false: 0.8225643634796143, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8339573740959167, max_false: 0.767328679561615, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7532814145088196, max_false: 0.8314884901046753, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8182666897773743, max_false: 0.7427195906639099, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7728304862976074, max_false: 0.8249175548553467, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8006018996238708, max_false: 0.7370818257331848, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7109184265136719, max_false: 0.7782707810401917, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.79335618019104, max_false: 0.7385798692703247, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7513498663902283, max_false: 0.8234460353851318, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8179108500480652, max_false: 0.7590410113334656, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7442953586578369, max_false: 0.8198409080505371, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8058617115020752, max_false: 0.7415241003036499, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7528987526893616, max_false: 0.808698832988739, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8144680261611938, max_false: 0.7519187331199646, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7764526605606079, max_false: 0.8336923122406006, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8274546265602112, max_false: 0.7476516366004944, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7518161535263062, max_false: 0.8131375312805176, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8151038289070129, max_false: 0.7411170601844788, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7820248007774353, max_false: 0.8291531801223755, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8310715556144714, max_false: 0.7752785682678223, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7534068822860718, max_false: 0.8191767930984497, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8170089721679688, max_false: 0.7414125204086304, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7528247833251953, max_false: 0.8336060047149658, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8176321387290955, max_false: 0.750548243522644, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7543858885765076, max_false: 0.8183619976043701, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8221043944358826, max_false: 0.7478870153427124, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7429649829864502, max_false: 0.8038309812545776, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.846679151058197, max_false: 0.7583131194114685, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.731802225112915, max_false: 0.8244297504425049, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8191952705383301, max_false: 0.756253719329834, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.749371349811554, max_false: 0.8197711110115051, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8089522123336792, max_false: 0.748311460018158, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7585122585296631, max_false: 0.8360752463340759, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8207354545593262, max_false: 0.7314658761024475, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7539508938789368, max_false: 0.8197550773620605, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8040645122528076, max_false: 0.7275975942611694, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7385764718055725, max_false: 0.8059463500976562, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8344654440879822, max_false: 0.7585604190826416, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7478636503219604, max_false: 0.8038206696510315, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8050131797790527, max_false: 0.7480359673500061, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7597758769989014, max_false: 0.8326588869094849, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8372898697853088, max_false: 0.7606223225593567, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7563644647598267, max_false: 0.833916962146759, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.81852126121521, max_false: 0.7471156716346741, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.748056948184967, max_false: 0.8114455342292786, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8247712254524231, max_false: 0.7658814191818237, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7544131278991699, max_false: 0.810609757900238, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8313698768615723, max_false: 0.7684203386306763, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7540783882141113, max_false: 0.8048024773597717, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8338310718536377, max_false: 0.7608690857887268, correct: True
