experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: final
  prompt structure: labeled

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.790098249912262, max_false: 0.8244034647941589, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8351656794548035, max_false: 0.7600987553596497, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7479079365730286, max_false: 0.8163979053497314, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8425298929214478, max_false: 0.7497215270996094, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7529821395874023, max_false: 0.8182311654090881, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8134548664093018, max_false: 0.7365158796310425, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7596582770347595, max_false: 0.8237332105636597, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8326229453086853, max_false: 0.7652665376663208, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7362626791000366, max_false: 0.8183671236038208, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7862595915794373, max_false: 0.7269373536109924, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7453905940055847, max_false: 0.8101226687431335, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8150217533111572, max_false: 0.7285827994346619, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7494845986366272, max_false: 0.8078674077987671, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8240986466407776, max_false: 0.7392635941505432, correct: True
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.7671440839767456, max_false: 0.8216269016265869, correct: False
in: torch.Size([257, 5376]), out: torch.Size([5376]), max_true: 0.8078703880310059, max_false: 0.7374672293663025, correct: True
