experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: final
  prompt structure: batched

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8630567789077759, max_false: 0.8602129220962524, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8516055345535278, max_false: 0.8530198931694031, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8502482771873474, max_false: 0.832632303237915, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8433427810668945, max_false: 0.8108599781990051, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.815483808517456, max_false: 0.811635434627533, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.7796315550804138, max_false: 0.765643835067749, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8872530460357666, max_false: 0.875478982925415, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8390092253684998, max_false: 0.8654581308364868, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8477838039398193, max_false: 0.8540376424789429, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8459069132804871, max_false: 0.8488612771034241, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8591507077217102, max_false: 0.8438076376914978, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8365925550460815, max_false: 0.8414743542671204, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9018976092338562, max_false: 0.8731786012649536, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8705927133560181, max_false: 0.8482394814491272, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8850844502449036, max_false: 0.8404980897903442, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8478136658668518, max_false: 0.8466199040412903, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8672831058502197, max_false: 0.8283305168151855, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8188824653625488, max_false: 0.7839789986610413, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8966558575630188, max_false: 0.8746678829193115, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.859751284122467, max_false: 0.8457840085029602, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8354960680007935, max_false: 0.8227711915969849, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8236958980560303, max_false: 0.8096197247505188, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.863286018371582, max_false: 0.8647609949111938, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8378751277923584, max_false: 0.8286671042442322, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8586463332176208, max_false: 0.8478071093559265, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.7966591119766235, max_false: 0.8056949973106384, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8765869140625, max_false: 0.8613743185997009, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8700838685035706, max_false: 0.8682319521903992, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8463906049728394, max_false: 0.816615641117096, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8504782319068909, max_false: 0.8301935791969299, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8257696032524109, max_false: 0.8748399615287781, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8544520735740662, max_false: 0.8380656242370605, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8662135004997253, max_false: 0.8377667665481567, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8189146518707275, max_false: 0.8115342259407043, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8136973977088928, max_false: 0.7542940378189087, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8051455616950989, max_false: 0.793742299079895, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.836795449256897, max_false: 0.816963255405426, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8376145958900452, max_false: 0.7907507419586182, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8677341938018799, max_false: 0.8644912242889404, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8612996339797974, max_false: 0.8510383367538452, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8575055003166199, max_false: 0.8339340090751648, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.817626953125, max_false: 0.7987483739852905, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8781721591949463, max_false: 0.8784768581390381, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8397306799888611, max_false: 0.8419554829597473, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8756841421127319, max_false: 0.8438349962234497, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8313801884651184, max_false: 0.8008596301078796, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8667087554931641, max_false: 0.8006012439727783, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8481612801551819, max_false: 0.8149787187576294, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8705449104309082, max_false: 0.8538460731506348, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8375544548034668, max_false: 0.8499013185501099, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8874366879463196, max_false: 0.8601691722869873, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.81174236536026, max_false: 0.8020221590995789, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8668597340583801, max_false: 0.8486436605453491, correct: True
