experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: vision
  prompt structure: batched

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9537357091903687, max_false: 0.9021397233009338, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9092469215393066, max_false: 0.8965010046958923, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9192667007446289, max_false: 0.9053688049316406, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8492410182952881, max_false: 0.830335259437561, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8857740163803101, max_false: 0.8585830926895142, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8891317248344421, max_false: 0.8520880341529846, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9257861971855164, max_false: 0.8967451453208923, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.826015293598175, max_false: 0.850828230381012, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9423485994338989, max_false: 0.9035707712173462, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8766593337059021, max_false: 0.8785064816474915, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8994418978691101, max_false: 0.872241199016571, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8537330627441406, max_false: 0.8613141775131226, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9367167949676514, max_false: 0.8796576857566833, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.895959198474884, max_false: 0.8504146933555603, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9550182223320007, max_false: 0.9038647413253784, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8768085241317749, max_false: 0.838291347026825, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9499734044075012, max_false: 0.9099235534667969, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8567332625389099, max_false: 0.859071671962738, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9529533982276917, max_false: 0.9060130715370178, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8765387535095215, max_false: 0.8473707437515259, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8795844912528992, max_false: 0.8757550716400146, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8339815139770508, max_false: 0.8406749963760376, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9320849180221558, max_false: 0.9034620523452759, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8684829473495483, max_false: 0.8554979562759399, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9102517366409302, max_false: 0.8892538547515869, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.7963975071907043, max_false: 0.7776876091957092, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9458034038543701, max_false: 0.913429319858551, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9013047218322754, max_false: 0.8876360654830933, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9098223447799683, max_false: 0.8846041560173035, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8856704235076904, max_false: 0.8715253472328186, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8879963755607605, max_false: 0.900822103023529, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8928265571594238, max_false: 0.89896559715271, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9097317457199097, max_false: 0.83467698097229, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.7848542928695679, max_false: 0.7520188093185425, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9362667798995972, max_false: 0.830410361289978, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8652498722076416, max_false: 0.8498973846435547, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8251847624778748, max_false: 0.7963767647743225, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8490755558013916, max_false: 0.7955836653709412, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9513838887214661, max_false: 0.9244014024734497, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9145620465278625, max_false: 0.8892879486083984, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9182033538818359, max_false: 0.8681753277778625, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.82639080286026, max_false: 0.796167254447937, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9225512146949768, max_false: 0.9019802808761597, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8490442633628845, max_false: 0.8868680000305176, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9434528946876526, max_false: 0.8559473156929016, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8886332511901855, max_false: 0.8404332399368286, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8962028622627258, max_false: 0.8442191481590271, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8482252955436707, max_false: 0.7988061308860779, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.940650224685669, max_false: 0.8619653582572937, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8226668834686279, max_false: 0.822028398513794, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9160165786743164, max_false: 0.8553967475891113, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.7961016297340393, max_false: 0.7577906847000122, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8864566683769226, max_false: 0.8705849051475525, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8520775437355042, max_false: 0.8362131118774414, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9417134523391724, max_false: 0.8407548069953918, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8567760586738586, max_false: 0.7762198448181152, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9041467905044556, max_false: 0.8836361765861511, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8655083775520325, max_false: 0.8800153136253357, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9294987320899963, max_false: 0.8319030404090881, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8787516951560974, max_false: 0.8486357927322388, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9427763223648071, max_false: 0.8522589206695557, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.8466357588768005, max_false: 0.7925500273704529, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.9469066262245178, max_false: 0.910649299621582, correct: True
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.851540207862854, max_false: 0.8623754382133484, correct: False
in: torch.Size([260, 5376]), out: torch.Size([5376]), max_true: 0.952549934387207, max_false: 0.9256725311279297, correct: True
