experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: interleaved

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The common rule for the `cat_2` images is that they all feature people walking dogs on leashes.\nRule: Images with people walking dogs on leashes belong to the `cat_2` category.\nTest Image: The test image shows a dog sitting on the ground with a person holding its leash.\nConclusion: cat_1']'
1 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The common rule for the first six images is that they all depict people walking dogs.\nRule: Images showing people walking dogs.\nTest Image: A man and a woman are kissing a dog.\nConclusion: cat_1']'
2 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict couples embracing or kissing, suggesting a focus on romantic relationships and affection. The `cat_1` images show various interactions, including family members, friends, and strangers, without a specific romantic element.\nRule: The common rule is that the images depict couples embracing or kissing.\nTest Image: The test image shows a couple embracing.\nConclusion: cat_2']'
3 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict couples embracing or kissing. The `cat_1` images show various other interactions, such as hugs, handshakes, and general social interactions.\nRule: The common rule is that the images depict couples embracing or kissing.\nTest Image: The test image shows a couple kissing.\nConclusion: cat_2']'
4 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all feature motorcycles or people riding motorcycles. The `cat_1` images do not contain motorcycles.\nRule: Images containing motorcycles or people riding motorcycles.\nTest Image: The test image contains multiple people riding motorcycles.\nConclusion: cat_2']'
5 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all feature motorcycles or dirt bikes, with people riding or performing stunts on them. The `cat_1` images depict various other vehicles and scenes, including cars, buses, and general street scenes.\nRule: Images featuring motorcycles or dirt bikes with people riding or performing stunts on them.\nTest Image: The test image shows a woman posing with a Harley-Davidson motorcycle.\nConclusion: cat_1']'
6 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict motorcycles or people riding motorcycles.\nRule: All images show motorcycles or people riding motorcycles.\nTest Image: The test image shows a group of people riding motorcycles.\nConclusion: cat_2']'
7 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all depict motorcycles or people riding motorcycles.\nRule: All images show motorcycles or people riding motorcycles.\nTest Image: The test image shows a person washing a motorcycle.\nConclusion: cat_1']'
8 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all feature people interacting with dogs, specifically holding or cuddling them. The `cat_1` images show dogs in various settings without people directly interacting with them.\nRule: People holding or cuddling dogs.\nTest Image: A man and a woman are sitting with a small dog.\nConclusion: cat_2']'
9 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all feature people interacting with dogs, specifically holding them, petting them, or taking them for a walk. The `cat_1` images primarily show dogs in various settings without human interaction.\nRule: Images featuring people interacting with dogs.\nTest Image: A dog is being washed in a tub.\nConclusion: cat_1']'
10 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict people working on laptops in indoor settings, often in a home or office environment. They are generally focused on work or study. The `cat_1` images show people using laptops in various outdoor settings, such as outdoors, in a library, or at a table.\nRule: People using laptops in indoor settings, often in a home or office environment, focused on work or study.\nTest Image: A woman is sitting on a sofa using a laptop. The setting is a modern, spacious living room with a chandelier and large windows.\nConclusion: cat_2']'
11 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all depict people using laptops in indoor settings, often in environments associated with work, study, or learning (e.g., libraries, offices, homes). They consistently show individuals focused on their screens. The `cat_1` images show people using laptops in various outdoor settings, often casually or in social contexts.\n\nRule: People using laptops indoors, primarily engaged in work or study-related activities.\n\nTest Image: A man sitting on a small stool, using a laptop outdoors.\n\nConclusion: cat_1']'
12 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict motorcycles and riders, specifically focusing on motorcycle riding and racing scenes. The `cat_1` images show various other vehicles and activities.\nRule: All images feature motorcycles and riders.\nTest Image: The test image shows children riding motorcycles.\nConclusion: cat_2']'
13 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The common rule among the first six images is that they all depict groups of motorcycles, typically with multiple riders.\nRule: All images show multiple motorcycles and riders.\nTest Image: The test image shows a single person riding a motorcycle.\nConclusion: cat_1']'
14 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict people riding motorcycles, specifically dirt bikes or motorcycles, in various outdoor settings. They consistently show individuals wearing helmets and protective gear.\nRule: The images feature people riding motorcycles outdoors.\nTest Image: The test image shows a group of people riding motorcycles outdoors.\nConclusion: cat_2']'
15 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all depict people riding motorcycles, specifically motorcycles with a classic or vintage style, often in groups or with a focus on the motorcycle itself. The images showcase various types of motorcycles and riders.\nRule: The images feature people riding motorcycles, particularly older-style motorcycles.\nTest Image: The test image shows a person riding a modern motorcycle.\nConclusion: cat_1']'
16 | expected:'cat_2' | got='cat_2 | full: ["Analysis: The `cat_2` images all depict a person sitting in the driver's seat of a train, looking out the window.\nRule: The images show a person in the driver's seat of a train.\nTest Image: The test image shows a person sitting in the driver's seat of a train.\nConclusion: cat_2"]'
17 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all depict scenes inside a train or subway car, specifically showing the control panels and the people operating the train. The `cat_1` images show people riding on trains, but not the control panels.\nRule: Images showing the control panels of a train or subway.\nTest Image: The test image shows people waiting at a train station, looking at a train.\nConclusion: cat_1']'
18 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict people cleaning or maintaining motorcycles. The focus is on the act of washing, polishing, or detailing motorcycles.\nRule: Images showing people cleaning or maintaining motorcycles.\nTest Image: A man is cleaning a motorcycle.\nConclusion: cat_2']'
