experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The `cat_2` images all feature people walking dogs. The `cat_1` images do not have this common element.\nRule: Images showing people walking dogs.\nTest Image: The test image shows a dog sitting and looking at the camera. It does not depict a person walking a dog.\nConclusion: cat_1']'
1 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all feature people walking dogs. The `cat_1` images do not contain people walking dogs.\nRule: Images showing people walking dogs.\nTest Image: The test image shows a man and a woman kissing a dog. It does not depict people walking a dog.\nConclusion: cat_1']'
2 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict couples or groups of people embracing, kissing, or engaging in close physical contact. The `cat_1` images show various other scenarios, including individuals alone, groups of people not in close contact, and scenes with animals.\nRule: Images featuring couples or groups of people in close physical contact (embracing, kissing, hugging).\nTest Image: The test image shows a couple embracing.\nConclusion: cat_2']'
3 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict close embraces or kisses between two people. The `cat_1` images show various interactions, including hugs, handshakes, and general social interactions.\nRule: Images showing close embraces or kisses between two people.\nTest Image: The test image shows a close kiss between two people.\nConclusion: cat_2']'
4 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all contain motorcycles. The `cat_1` images do not contain motorcycles.\nRule: Images containing motorcycles.\nTest Image: The test image contains motorcycles.\nConclusion: cat_2']'
5 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all depict motorcycles or people riding motorcycles. The images show various types of motorcycles (dirt bikes, street bikes, etc.) and people engaged in motorcycle activities (riding, racing, attending events). The `cat_1` images do not contain motorcycles or related activities.\nRule: Images featuring motorcycles or people riding motorcycles.\nTest Image: The test image shows a Harley-Davidson motorcycle and a woman leaning against it. It does not depict motorcycles or motorcycle-related activities.\nConclusion: cat_1']'
6 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict people riding motorcycles. The `cat_1` images do not show people riding motorcycles.\nRule: Images showing people riding motorcycles.\nTest Image: The test image shows a group of people riding motorcycles.\nConclusion: cat_2']'
7 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all depict motorcycles or people riding motorcycles. The `cat_1` images do not show motorcycles or motorcycle riding.\nRule: Images showing motorcycles or people riding motorcycles.\nTest Image: The test image shows a person washing a motorcycle.\nConclusion: cat_1']'
8 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people interacting with dogs, often with affectionate gestures like petting, hugging, or holding them. The dogs are the primary focus of the image and are central to the scene.\nRule: Images featuring people interacting with dogs in a close, affectionate manner.\nTest Image: The test image shows a man and a woman with a small dog. They are sitting together and the dog is being held by the woman. This aligns with the rule of people interacting with dogs in a close, affectionate manner.\nConclusion: cat_2']'
9 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images all feature people interacting with dogs, specifically holding, petting, or caring for them. The `cat_1` images primarily show dogs alone or in groups without human interaction.\nRule: Images featuring people interacting with dogs.\nTest Image: The test image shows a dog being washed in a tub by a person.\nConclusion: cat_2']'
10 | expected:'cat_2' | got='cat_1 | full: ['Analysis: All the cat_2 images show people using laptops in indoor settings, often in a focused or working manner. They are generally in environments with books, desks, or other office-like elements. The cat_1 images show people using laptops in various outdoor or less formal settings, such as on a sofa or in a more relaxed environment.\n\nRule: People using laptops in indoor, office-like settings.\n\nTest Image: A person is using a laptop on a sofa in a modern living room setting.\n\nConclusion: cat_1']'
11 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show people using laptops. All the cat_1 images do not show people using laptops.\nRule: Images showing people using laptops.\nTest Image: A man is sitting on a stool and using a laptop.\nConclusion: cat_2']'
12 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show motorcycles or people riding motorcycles. The cat_1 images do not show motorcycles or people riding motorcycles.\nRule: Images containing motorcycles or people riding motorcycles.\nTest Image: The test image shows children riding motorcycles.\nConclusion: cat_2']'
13 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show people riding motorcycles. The cat_1 images do not show people riding motorcycles.\nRule: Images showing people riding motorcycles.\nTest Image: The test image shows a woman riding a motorcycle.\nConclusion: cat_2']'
14 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The first six images (cat_2) all depict groups of people riding motorcycles, specifically motorcycles with a classic or vintage style. The remaining six images (cat_1) show various other vehicles and activities, including cars, trucks, and people engaged in different pursuits.\nRule: Images showing groups of people riding motorcycles, particularly classic or vintage motorcycles.\nTest Image: The test image shows a group of people riding motorcycles.\nConclusion: cat_2']'
15 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict people riding motorcycles, specifically motorcycles with a focus on action or events related to motorcycle riding (e.g., racing, stunts, group rides). The `cat_1` images show people in various settings, but none involve motorcycles.\nRule: Images featuring people riding motorcycles.\nTest Image: A person riding a motorcycle.\nConclusion: cat_2']'
16 | expected:'cat_2' | got='cat_2 | full: ["Analysis: All the cat_2 images show a person sitting in the driver's seat of a train, with a view of the tracks outside the window. The focus is on the control panel and the person operating the train.\nRule: Images showing a person in the driver's seat of a train with a visible track view.\nTest Image: A man is sitting in the driver's seat of a train, with a view of the tracks outside the window.\nConclusion: cat_2"]'
17 | expected:'cat_1' | got='cat_1 | full: ["Analysis: All the cat_2 images show people operating or observing the controls of a train. The images depict the control panels, the view outside the train, and people in the driver's seat. The cat_1 images show people simply riding the train, without any interaction with the controls.\nRule: Images showing people operating or observing the controls of a train.\nTest Image: People are standing outside the train looking in.\nConclusion: cat_1"]'
18 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict people cleaning motorcycles with a cloth. The `cat_1` images show various other activities, such as people riding motorcycles, or simply showing motorcycles.\nRule: Images showing people cleaning motorcycles with a cloth.\nTest Image: A man is cleaning a motorcycle with a cloth.\nConclusion: cat_2']'
19 | expected:'cat_1' | got='cat_1 | full: ['Analysis: All the cat_2 images show a person cleaning or detailing a motorcycle. The common element is the action of cleaning a motorcycle with a cloth.\nRule: Images depicting a person cleaning or detailing a motorcycle.\nTest Image: The test image shows a person riding a motorcycle.\nConclusion: cat_1']'
20 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The `cat_2` images all depict children playing various sports – soccer, tennis, football, handball, and basketball. The images show children actively engaged in sports activities.\nRule: Images showing children playing sports.\nTest Image: The test image shows a family walking on a street. There is no indication of any sports activity.\nConclusion: cat_1']'
21 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The cat_2 images all depict children playing various sports – soccer, tennis, football, and American football. The children are wearing sports uniforms and are actively engaged in athletic activities. The cat_1 images do not show children playing sports; they depict various scenes with adults in different settings.\nRule: Images of children playing sports.\nTest Image: The test image shows two men playing soccer.\nConclusion: cat_2']'
22 | expected:'cat_2' | got='cat_1 | full: ['Analysis: All the cat_2 images show motorcycles or quad bikes in motion, often in racing or off-road environments. They consistently feature riders wearing helmets and protective gear.\nRule: Images containing motorcycles or quad bikes in motion with riders wearing helmets.\nTest Image: The test image shows motorcycles and people on the road, but no riders are wearing helmets.\nConclusion: cat_1']'
23 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show motorcycles or motorcycles racing. The cat_1 images show various other vehicles and people.\nRule: Images featuring motorcycles or motorcycle racing.\nTest Image: The test image shows multiple motorcycles in a racing scenario.\nConclusion: cat_2']'
24 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict people interacting affectionately with dogs, specifically involving kissing or hugging the dogs. The `cat_1` images show various other scenarios, including people with dogs, but without the affectionate interaction.\nRule: Images showing people kissing or hugging dogs.\nTest Image: The test image shows a woman kissing a small dog.\nConclusion: cat_2']'
