experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8373875617980957, max_false: 0.8777198791503906, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8962749242782593, max_false: 0.8359310626983643, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8555164933204651, max_false: 0.9031013250350952, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.897850513458252, max_false: 0.8471993803977966, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.85847008228302, max_false: 0.9088875651359558, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8973777294158936, max_false: 0.8433622717857361, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8591834306716919, max_false: 0.9020513296127319, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8983780145645142, max_false: 0.8369012475013733, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8551995158195496, max_false: 0.903872013092041, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8912563323974609, max_false: 0.8370919823646545, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8428015112876892, max_false: 0.8900237083435059, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8968725204467773, max_false: 0.8544828295707703, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8087049126625061, max_false: 0.8952323794364929, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9084110260009766, max_false: 0.8640831708908081, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8519704937934875, max_false: 0.907447874546051, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9081894755363464, max_false: 0.8624602556228638, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8693529367446899, max_false: 0.91388338804245, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9121977686882019, max_false: 0.8509286642074585, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8677951693534851, max_false: 0.9007248282432556, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9002443552017212, max_false: 0.8540592789649963, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8467549085617065, max_false: 0.893947422504425, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9041455388069153, max_false: 0.846970796585083, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.861413300037384, max_false: 0.898212730884552, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9050750136375427, max_false: 0.8570065498352051, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8538838624954224, max_false: 0.8981267213821411, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.896429181098938, max_false: 0.8267000913619995, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8645198345184326, max_false: 0.9105733633041382, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9157630801200867, max_false: 0.8566847443580627, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8586005568504333, max_false: 0.9087149500846863, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8910698890686035, max_false: 0.8456757068634033, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8640646934509277, max_false: 0.8999412655830383, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9138992428779602, max_false: 0.8533779382705688, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8466407656669617, max_false: 0.8969504237174988, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8957399129867554, max_false: 0.8471172451972961, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.862094521522522, max_false: 0.9059309959411621, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9122727513313293, max_false: 0.8686323761940002, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8663367033004761, max_false: 0.9105764627456665, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9068709015846252, max_false: 0.8625285625457764, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8618801236152649, max_false: 0.9115508198738098, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8982589244842529, max_false: 0.8548572659492493, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8350617289543152, max_false: 0.8946110606193542, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.905653715133667, max_false: 0.8445071578025818, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8432930707931519, max_false: 0.900469958782196, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9111809730529785, max_false: 0.8577430844306946, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8473407626152039, max_false: 0.8967156410217285, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9102709889411926, max_false: 0.8578667640686035, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.863261878490448, max_false: 0.9037338495254517, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8778956532478333, max_false: 0.8410552740097046, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8538598418235779, max_false: 0.8916341066360474, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9033752083778381, max_false: 0.8418710827827454, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.855719804763794, max_false: 0.8942239284515381, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9003835916519165, max_false: 0.8627833724021912, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8609416484832764, max_false: 0.9032038450241089, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8900716304779053, max_false: 0.8351524472236633, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8621132373809814, max_false: 0.9099858999252319, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9021390080451965, max_false: 0.8494554162025452, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8694682717323303, max_false: 0.909089207649231, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9117797613143921, max_false: 0.854606032371521, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8410167098045349, max_false: 0.8901504874229431, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9141978025436401, max_false: 0.8583341836929321, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.837000846862793, max_false: 0.8927972316741943, correct: False
