experiment run details:
  dataset: hoi
  path: /media/e/data/experiments/datasets/hake/
  similarity location: final
  prompt structure: batched

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8412913084030151, max_false: 0.8344192504882812, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.855370283126831, max_false: 0.8295422792434692, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8593561053276062, max_false: 0.8599961400032043, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8625965118408203, max_false: 0.8476629853248596, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8493518233299255, max_false: 0.8244849443435669, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8088332414627075, max_false: 0.838594377040863, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8538222312927246, max_false: 0.8530617952346802, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8255602717399597, max_false: 0.8089010715484619, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.875259280204773, max_false: 0.8474087715148926, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8544376492500305, max_false: 0.8401579856872559, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8308488130569458, max_false: 0.833526611328125, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8372852802276611, max_false: 0.8350680470466614, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.7600800395011902, max_false: 0.7926716208457947, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8494773507118225, max_false: 0.8571959733963013, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8346830010414124, max_false: 0.838204562664032, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8459746241569519, max_false: 0.8549052476882935, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8843163847923279, max_false: 0.843824028968811, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8706496357917786, max_false: 0.8490549921989441, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8809046149253845, max_false: 0.8183302283287048, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8125524520874023, max_false: 0.8078334927558899, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.7971301078796387, max_false: 0.8071011900901794, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8547549843788147, max_false: 0.8397672176361084, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8587038516998291, max_false: 0.830826461315155, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8736661076545715, max_false: 0.8254746198654175, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8528289794921875, max_false: 0.8308565616607666, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8210609555244446, max_false: 0.814156711101532, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8913384675979614, max_false: 0.8771814107894897, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8619778156280518, max_false: 0.8566308617591858, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8690894246101379, max_false: 0.8680115938186646, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8167014122009277, max_false: 0.8064962029457092, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8702073097229004, max_false: 0.8555400967597961, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8672723770141602, max_false: 0.8574157953262329, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8647340536117554, max_false: 0.8634657263755798, correct: True
