experiment run details:
  dataset: hoi
  path: /media/e/data/experiments/datasets/hake/
  similarity location: vision
  prompt structure: batched

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9453946948051453, max_false: 0.9365308880805969, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9455522298812866, max_false: 0.9124121069908142, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9711467623710632, max_false: 0.9494829773902893, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.945077657699585, max_false: 0.9287281632423401, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9270912408828735, max_false: 0.9077193737030029, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9244471788406372, max_false: 0.9285501837730408, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9600744247436523, max_false: 0.9427981972694397, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9477009773254395, max_false: 0.9347400665283203, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9519423246383667, max_false: 0.9379154443740845, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9549452066421509, max_false: 0.9367379546165466, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9053483009338379, max_false: 0.9190515875816345, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9330016374588013, max_false: 0.924190878868103, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9054573178291321, max_false: 0.9085211157798767, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9422902464866638, max_false: 0.94310462474823, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9469155669212341, max_false: 0.9303559064865112, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9531211256980896, max_false: 0.9631780982017517, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9705411791801453, max_false: 0.9309272766113281, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9567815661430359, max_false: 0.9306198358535767, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.978024959564209, max_false: 0.9438676238059998, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9451658725738525, max_false: 0.9388907551765442, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9346877336502075, max_false: 0.9116795659065247, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9533944129943848, max_false: 0.9305787086486816, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9569246172904968, max_false: 0.9335486888885498, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9523449540138245, max_false: 0.9362014532089233, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9585860371589661, max_false: 0.9371130466461182, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9311487078666687, max_false: 0.914040207862854, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9672513008117676, max_false: 0.9578613638877869, correct: True
