experiment run details:
  dataset: openworld
  path: /home/e/IdeaProjects/PhD-projects/projects/bongard/
  similarity location: final
  prompt structure: batched

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8632375597953796, max_false: 0.8416709899902344, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8180360794067383, max_false: 0.8228165507316589, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8637141585350037, max_false: 0.820234477519989, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.776496946811676, max_false: 0.7569320797920227, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8448086977005005, max_false: 0.826267421245575, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8555392622947693, max_false: 0.8503838777542114, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8499132394790649, max_false: 0.847077488899231, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8099165558815002, max_false: 0.8288382291793823, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8520748615264893, max_false: 0.8432854413986206, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8096534013748169, max_false: 0.7944737076759338, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8347074389457703, max_false: 0.8109353184700012, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.804402232170105, max_false: 0.8276638984680176, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.884118914604187, max_false: 0.8573393821716309, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.829025387763977, max_false: 0.8058630228042603, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8721214532852173, max_false: 0.8398889303207397, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8241183161735535, max_false: 0.8105109333992004, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8747149705886841, max_false: 0.8473732471466064, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.7861418724060059, max_false: 0.7961222529411316, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8670626282691956, max_false: 0.8495344519615173, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8021851181983948, max_false: 0.8114985823631287, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8125540614128113, max_false: 0.803800642490387, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.7781413197517395, max_false: 0.7750706672668457, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8557559251785278, max_false: 0.8547540307044983, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.7866250276565552, max_false: 0.80326247215271, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8928378820419312, max_false: 0.8880537152290344, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.7655559182167053, max_false: 0.7620187401771545, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8877237439155579, max_false: 0.8576894998550415, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8542225360870361, max_false: 0.840323805809021, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8566177487373352, max_false: 0.8025200366973877, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.838249683380127, max_false: 0.8237802386283875, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8247880935668945, max_false: 0.8280359506607056, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8150255680084229, max_false: 0.8146719932556152, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8704984188079834, max_false: 0.8346173763275146, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.7930383682250977, max_false: 0.7815630435943604, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8079267144203186, max_false: 0.7124103903770447, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.7952198386192322, max_false: 0.7630174160003662, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8283105492591858, max_false: 0.8095867037773132, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8191445469856262, max_false: 0.7755139470100403, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.878103494644165, max_false: 0.8559725284576416, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8391450047492981, max_false: 0.8440632820129395, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8780245780944824, max_false: 0.832848072052002, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.7572899460792542, max_false: 0.7792657017707825, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8740489482879639, max_false: 0.8536708354949951, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8043376803398132, max_false: 0.8333906531333923, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.86697918176651, max_false: 0.7962549924850464, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.798128604888916, max_false: 0.7831782102584839, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8530982136726379, max_false: 0.781466007232666, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8268011212348938, max_false: 0.7892130613327026, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8559535145759583, max_false: 0.8100140690803528, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8009656071662903, max_false: 0.8224254846572876, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8713979125022888, max_false: 0.8537830114364624, correct: True
