experiment run details:
  dataset: openworld
  path: /home/e/IdeaProjects/PhD-projects/projects/bongard/
  similarity location: final
  prompt structure: single

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9343210458755493, max_false: 0.8851609826087952, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9020382761955261, max_false: 0.8976186513900757, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9485092163085938, max_false: 0.9095292687416077, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.8428108096122742, max_false: 0.7949666976928711, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9146999716758728, max_false: 0.8952752947807312, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9198231101036072, max_false: 0.9265096783638, correct: False
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9618114233016968, max_false: 0.9183833003044128, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9066945314407349, max_false: 0.9282782673835754, correct: False
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.966615617275238, max_false: 0.9209771752357483, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.930793285369873, max_false: 0.9015225768089294, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9604160189628601, max_false: 0.8761535286903381, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.8747595548629761, max_false: 0.9149240255355835, correct: False
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9628119468688965, max_false: 0.9478625059127808, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9067584872245789, max_false: 0.8837144374847412, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9745892286300659, max_false: 0.92460036277771, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9101829528808594, max_false: 0.8958008885383606, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9668812155723572, max_false: 0.9522111415863037, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.890298068523407, max_false: 0.8692927956581116, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9957185387611389, max_false: 0.9357360005378723, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.906182050704956, max_false: 0.9011011719703674, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.8788372278213501, max_false: 0.903920590877533, correct: False
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.8824055790901184, max_false: 0.8978728652000427, correct: False
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9534716606140137, max_false: 0.9336634278297424, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.8738898038864136, max_false: 0.8918227553367615, correct: False
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9515295624732971, max_false: 0.8765647411346436, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.8955006003379822, max_false: 0.875433087348938, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9695334434509277, max_false: 0.9374302625656128, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9354750514030457, max_false: 0.9356825351715088, correct: False
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.923224151134491, max_false: 0.8630318641662598, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9093989133834839, max_false: 0.9257458448410034, correct: False
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.8782171607017517, max_false: 0.9175797700881958, correct: False
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.8859679102897644, max_false: 0.9007861018180847, correct: False
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9480164051055908, max_false: 0.8976076245307922, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.8678122162818909, max_false: 0.8543312549591064, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.8698742389678955, max_false: 0.7295203804969788, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.8342666625976562, max_false: 0.8288235664367676, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.896575927734375, max_false: 0.8934098482131958, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9107871055603027, max_false: 0.8590329885482788, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9738912582397461, max_false: 0.949302077293396, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9430053234100342, max_false: 0.9439839124679565, correct: False
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9511823654174805, max_false: 0.8759768605232239, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.8449574112892151, max_false: 0.8555020689964294, correct: False
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9517379999160767, max_false: 0.9341153502464294, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.8781936168670654, max_false: 0.9341153502464294, correct: False
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9661903381347656, max_false: 0.8989394307136536, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.8740054368972778, max_false: 0.8454516530036926, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9515922665596008, max_false: 0.9154586791992188, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.906451404094696, max_false: 0.8837774395942688, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9594411253929138, max_false: 0.9068562388420105, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.905197262763977, max_false: 0.8981402516365051, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9744266867637634, max_false: 0.9342915415763855, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.7751256823539734, max_false: 0.7924134731292725, correct: False
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9338562488555908, max_false: 0.914732813835144, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9035658836364746, max_false: 0.9007622003555298, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9678010940551758, max_false: 0.9091472625732422, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9246290326118469, max_false: 0.8633851408958435, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9561663866043091, max_false: 0.9062933921813965, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9034141898155212, max_false: 0.9116606116294861, correct: False
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9730088710784912, max_false: 0.9073567390441895, correct: True
in: torch.Size([260, 2560]), out: torch.Size([2560]), len: (6, 6), max_true: 0.9142669439315796, max_false: 0.9070569276809692, correct: True
