experiment run details:
  dataset: openworld
  path: /home/e/IdeaProjects/PhD-projects/projects/bongard/
  similarity location: vision
  prompt structure: batched

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9673728942871094, max_false: 0.9362533688545227, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9447649717330933, max_false: 0.9363885521888733, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9384394288063049, max_false: 0.9309162497520447, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8934128284454346, max_false: 0.8771407604217529, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9253703355789185, max_false: 0.9081045389175415, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9310448169708252, max_false: 0.9110643267631531, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9521372318267822, max_false: 0.9359825253486633, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.881643533706665, max_false: 0.9023104906082153, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9589456915855408, max_false: 0.933379054069519, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9280098676681519, max_false: 0.923837423324585, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9351491332054138, max_false: 0.9178734421730042, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9150810241699219, max_false: 0.9197558164596558, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9631673693656921, max_false: 0.9317132830619812, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9372985363006592, max_false: 0.9081878662109375, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9701677560806274, max_false: 0.9423704743385315, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.922531247138977, max_false: 0.9005697965621948, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9662832617759705, max_false: 0.9477069973945618, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9142733216285706, max_false: 0.9153099060058594, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9712402820587158, max_false: 0.9370931386947632, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9188751578330994, max_false: 0.8995221853256226, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9204811453819275, max_false: 0.917860209941864, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8916701674461365, max_false: 0.890839695930481, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9621065258979797, max_false: 0.9463314414024353, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9224277138710022, max_false: 0.917862057685852, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9387933611869812, max_false: 0.9244329929351807, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8695582151412964, max_false: 0.8515554666519165, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9604203104972839, max_false: 0.9393876194953918, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9318969249725342, max_false: 0.9186855554580688, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9469442963600159, max_false: 0.9284690618515015, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9286519289016724, max_false: 0.920118510723114, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9358034133911133, max_false: 0.9421846866607666, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9344563484191895, max_false: 0.9371727705001831, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9387785792350769, max_false: 0.8910518884658813, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8467779159545898, max_false: 0.824634313583374, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9574587345123291, max_false: 0.8951451778411865, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9204665422439575, max_false: 0.9126840829849243, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8745903372764587, max_false: 0.8545212149620056, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9016095399856567, max_false: 0.8694320917129517, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9700630903244019, max_false: 0.9570268392562866, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9463109970092773, max_false: 0.9275124073028564, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9514264464378357, max_false: 0.9220415949821472, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8891039490699768, max_false: 0.8743343353271484, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.949726939201355, max_false: 0.9378740191459656, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8963449597358704, max_false: 0.9209741353988647, correct: False
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.962702751159668, max_false: 0.9090134501457214, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9304202795028687, max_false: 0.9018011093139648, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9306871294975281, max_false: 0.8974177241325378, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9126971364021301, max_false: 0.8753364682197571, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9547894597053528, max_false: 0.9041898846626282, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8836452960968018, max_false: 0.8773408532142639, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9427019953727722, max_false: 0.8981344103813171, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.8675889372825623, max_false: 0.8464903235435486, correct: True
in: torch.Size([259, 2560]), out: torch.Size([2560]), max_true: 0.9299058318138123, max_false: 0.9166043400764465, correct: True
