experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: interleaved

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9182591438293457, max_false: 0.940584659576416, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9460979700088501, max_false: 0.8749462366104126, correct: True
in: torch.Size([255, 5120]), out: torch.Size([5120]), max_true: 0.9038256406784058, max_false: 0.9303231239318848, correct: False
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9696546792984009, max_false: 0.8988872170448303, correct: True
in: torch.Size([2815, 5120]), out: torch.Size([5120]), max_true: 0.9379511475563049, max_false: 0.9633359909057617, correct: False
in: torch.Size([255, 5120]), out: torch.Size([5120]), max_true: 0.8453853130340576, max_false: 0.8451359272003174, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9489396810531616, max_false: 0.9590442776679993, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9473991990089417, max_false: 0.9290213584899902, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9122918844223022, max_false: 0.9424676895141602, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9514930248260498, max_false: 0.910839855670929, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9385659098625183, max_false: 0.947931170463562, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9460502862930298, max_false: 0.9276936650276184, correct: True
in: torch.Size([767, 5120]), out: torch.Size([5120]), max_true: 0.814727246761322, max_false: 0.8328765034675598, correct: False
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9572136402130127, max_false: 0.9406396746635437, correct: True
in: torch.Size([2815, 5120]), out: torch.Size([5120]), max_true: 0.9509902596473694, max_false: 0.9623470306396484, correct: False
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9622976779937744, max_false: 0.9555235505104065, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9468029737472534, max_false: 0.9674393534660339, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9491852521896362, max_false: 0.9104164242744446, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9625410437583923, max_false: 0.9380897879600525, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9586634039878845, max_false: 0.9235320091247559, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.925523042678833, max_false: 0.9679268002510071, correct: False
in: torch.Size([255, 5120]), out: torch.Size([5120]), max_true: 0.9305842518806458, max_false: 0.8741471767425537, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9297280311584473, max_false: 0.931286096572876, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9677274227142334, max_false: 0.9051961302757263, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9318057298660278, max_false: 0.9643824100494385, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9690526723861694, max_false: 0.9146652221679688, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9515020251274109, max_false: 0.971595048904419, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9573915004730225, max_false: 0.9226298928260803, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9318040013313293, max_false: 0.9599660634994507, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9507220387458801, max_false: 0.9129015803337097, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9446871876716614, max_false: 0.9412391781806946, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9643155336380005, max_false: 0.9338644742965698, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9496298432350159, max_false: 0.9760609269142151, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9515755772590637, max_false: 0.9420156478881836, correct: True
in: torch.Size([767, 5120]), out: torch.Size([5120]), max_true: 0.933819055557251, max_false: 0.9402658939361572, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9683820009231567, max_false: 0.9476996064186096, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9163092374801636, max_false: 0.9658659100532532, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9680013060569763, max_false: 0.9301693439483643, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9130264520645142, max_false: 0.9608897566795349, correct: False
in: torch.Size([255, 5120]), out: torch.Size([5120]), max_true: 0.9038556814193726, max_false: 0.885482132434845, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9206662178039551, max_false: 0.9549418687820435, correct: False
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9743582010269165, max_false: 0.9440069198608398, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9198415875434875, max_false: 0.9657608866691589, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.970197856426239, max_false: 0.9324089288711548, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9372658133506775, max_false: 0.9377831816673279, correct: False
