experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9115580916404724, max_false: 0.944750189781189, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9508612155914307, max_false: 0.8742527365684509, correct: True
in: torch.Size([255, 5120]), out: torch.Size([5120]), max_true: 0.9290518760681152, max_false: 0.9244509935379028, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9717608094215393, max_false: 0.9319830536842346, correct: True
in: torch.Size([2815, 5120]), out: torch.Size([5120]), max_true: 0.9370075464248657, max_false: 0.9697281718254089, correct: False
in: torch.Size([255, 5120]), out: torch.Size([5120]), max_true: 0.8630785346031189, max_false: 0.8574696183204651, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9639425873756409, max_false: 0.9636086225509644, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9486855864524841, max_false: 0.9351541996002197, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9435468912124634, max_false: 0.9584964513778687, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9656784534454346, max_false: 0.9398950338363647, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9474441409111023, max_false: 0.9534242749214172, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.946148693561554, max_false: 0.9313132166862488, correct: True
in: torch.Size([767, 5120]), out: torch.Size([5120]), max_true: 0.8244470953941345, max_false: 0.8558101058006287, correct: False
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.963272750377655, max_false: 0.9420529007911682, correct: True
in: torch.Size([2815, 5120]), out: torch.Size([5120]), max_true: 0.9555957317352295, max_false: 0.9665545225143433, correct: False
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9668306708335876, max_false: 0.9590632915496826, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9520003795623779, max_false: 0.9721210598945618, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9497705698013306, max_false: 0.9145928621292114, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.96418297290802, max_false: 0.9445313215255737, correct: True
