experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: final
  prompt structure: interleaved

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([767, 5120]), out: torch.Size([5120]), max_true: 0.9169214963912964, max_false: 0.8914539813995361, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9474071860313416, max_false: 0.9220992922782898, correct: True
in: torch.Size([2815, 5120]), out: torch.Size([5120]), max_true: 0.9422097206115723, max_false: 0.9554365277290344, correct: False
in: torch.Size([767, 5120]), out: torch.Size([5120]), max_true: 0.773993730545044, max_false: 0.7482406497001648, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9196506142616272, max_false: 0.9377179145812988, correct: False
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9469218850135803, max_false: 0.8885531425476074, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.8317039608955383, max_false: 0.923025369644165, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9303459525108337, max_false: 0.8918111324310303, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9428578615188599, max_false: 0.9716955423355103, correct: False
in: torch.Size([255, 5120]), out: torch.Size([5120]), max_true: 0.872672975063324, max_false: 0.836081862449646, correct: True
in: torch.Size([767, 5120]), out: torch.Size([5120]), max_true: 0.8983179330825806, max_false: 0.8799113035202026, correct: True
in: torch.Size([767, 5120]), out: torch.Size([5120]), max_true: 0.9013198018074036, max_false: 0.8791094422340393, correct: True
in: torch.Size([767, 5120]), out: torch.Size([5120]), max_true: 0.9151689410209656, max_false: 0.9142426252365112, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9548079371452332, max_false: 0.9156298041343689, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9563657641410828, max_false: 0.9302340149879456, correct: True
in: torch.Size([255, 5120]), out: torch.Size([5120]), max_true: 0.8441290855407715, max_false: 0.8496838212013245, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9484062790870667, max_false: 0.9650648832321167, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9646984934806824, max_false: 0.9273786544799805, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.92853844165802, max_false: 0.9368345141410828, correct: False
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9467661380767822, max_false: 0.9246377348899841, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.8851037621498108, max_false: 0.9163402318954468, correct: False
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9172174334526062, max_false: 0.8419557213783264, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9552448391914368, max_false: 0.9641452431678772, correct: False
in: torch.Size([767, 5120]), out: torch.Size([5120]), max_true: 0.8873210549354553, max_false: 0.8522671461105347, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9111369848251343, max_false: 0.9223883152008057, correct: False
in: torch.Size([255, 5120]), out: torch.Size([5120]), max_true: 0.7278395295143127, max_false: 0.7259796261787415, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9546294212341309, max_false: 0.9541573524475098, correct: True
in: torch.Size([255, 5120]), out: torch.Size([5120]), max_true: 0.8794106245040894, max_false: 0.8444929718971252, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9340408444404602, max_false: 0.9607382416725159, correct: False
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9223914742469788, max_false: 0.9041950702667236, correct: True
in: torch.Size([255, 5120]), out: torch.Size([5120]), max_true: 0.8636415004730225, max_false: 0.86258465051651, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9358981847763062, max_false: 0.901299774646759, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9412580132484436, max_false: 0.9415448307991028, correct: False
in: torch.Size([767, 5120]), out: torch.Size([5120]), max_true: 0.8738571405410767, max_false: 0.8417861461639404, correct: True
