experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: final
  prompt structure: labeled

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([767, 5120]), out: torch.Size([5120]), max_true: 0.9163904190063477, max_false: 0.8963786959648132, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9494865536689758, max_false: 0.9269813299179077, correct: True
in: torch.Size([2815, 5120]), out: torch.Size([5120]), max_true: 0.935960590839386, max_false: 0.9596309065818787, correct: False
in: torch.Size([767, 5120]), out: torch.Size([5120]), max_true: 0.7828351855278015, max_false: 0.7705129981040955, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.937971830368042, max_false: 0.9573919177055359, correct: False
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9493918418884277, max_false: 0.8950141072273254, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.8692142963409424, max_false: 0.9402895569801331, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.937976598739624, max_false: 0.9067583084106445, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9483131766319275, max_false: 0.9764471650123596, correct: False
in: torch.Size([255, 5120]), out: torch.Size([5120]), max_true: 0.8727264404296875, max_false: 0.8456669449806213, correct: True
in: torch.Size([767, 5120]), out: torch.Size([5120]), max_true: 0.9100939035415649, max_false: 0.8901739120483398, correct: True
in: torch.Size([767, 5120]), out: torch.Size([5120]), max_true: 0.8978614807128906, max_false: 0.8892614245414734, correct: True
in: torch.Size([767, 5120]), out: torch.Size([5120]), max_true: 0.9316959381103516, max_false: 0.924784243106842, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.962081789970398, max_false: 0.9398387670516968, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9633983969688416, max_false: 0.9390547275543213, correct: True
in: torch.Size([255, 5120]), out: torch.Size([5120]), max_true: 0.847783088684082, max_false: 0.8594164848327637, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9537032246589661, max_false: 0.9658911228179932, correct: False
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9589213132858276, max_false: 0.9370342493057251, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9338550567626953, max_false: 0.939045250415802, correct: False
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9493318200111389, max_false: 0.9319587349891663, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9346948266029358, max_false: 0.9355566501617432, correct: False
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.934465229511261, max_false: 0.9023332595825195, correct: True
in: torch.Size([3327, 5120]), out: torch.Size([5120]), max_true: 0.9552825689315796, max_false: 0.9690336585044861, correct: False
in: torch.Size([767, 5120]), out: torch.Size([5120]), max_true: 0.895598292350769, max_false: 0.8580700755119324, correct: True
in: torch.Size([1791, 5120]), out: torch.Size([5120]), max_true: 0.9143680930137634, max_false: 0.9265862107276917, correct: False
in: torch.Size([255, 5120]), out: torch.Size([5120]), max_true: 0.7793406248092651, max_false: 0.7766377925872803, correct: True
