experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: vision
  prompt structure: batched

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([769, 5120]), out: torch.Size([5120]), max_true: 0.8690422177314758, max_false: 0.8136972188949585, correct: True
in: torch.Size([3329, 5120]), out: torch.Size([5120]), max_true: 0.9355630874633789, max_false: 0.9302122592926025, correct: True
in: torch.Size([2817, 5120]), out: torch.Size([5120]), max_true: 0.9123849272727966, max_false: 0.9464548826217651, correct: False
in: torch.Size([769, 5120]), out: torch.Size([5120]), max_true: 0.814666748046875, max_false: 0.824181318283081, correct: False
in: torch.Size([3329, 5120]), out: torch.Size([5120]), max_true: 0.9742594361305237, max_false: 0.9508228302001953, correct: True
in: torch.Size([3329, 5120]), out: torch.Size([5120]), max_true: 0.9410995244979858, max_false: 0.9417942762374878, correct: False
in: torch.Size([1793, 5120]), out: torch.Size([5120]), max_true: 0.944147527217865, max_false: 0.9125781059265137, correct: True
in: torch.Size([1793, 5120]), out: torch.Size([5120]), max_true: 0.907171368598938, max_false: 0.908201277256012, correct: False
in: torch.Size([1793, 5120]), out: torch.Size([5120]), max_true: 0.9327993392944336, max_false: 0.9476020336151123, correct: False
in: torch.Size([257, 5120]), out: torch.Size([5120]), max_true: 0.7198448777198792, max_false: 0.7592752575874329, correct: False
in: torch.Size([769, 5120]), out: torch.Size([5120]), max_true: 0.8623902201652527, max_false: 0.8590051531791687, correct: True
in: torch.Size([769, 5120]), out: torch.Size([5120]), max_true: 0.8727399706840515, max_false: 0.8521850109100342, correct: True
in: torch.Size([769, 5120]), out: torch.Size([5120]), max_true: 0.8446144461631775, max_false: 0.8412527441978455, correct: True
in: torch.Size([3329, 5120]), out: torch.Size([5120]), max_true: 0.9513803720474243, max_false: 0.9600011706352234, correct: False
in: torch.Size([1793, 5120]), out: torch.Size([5120]), max_true: 0.9757044315338135, max_false: 0.8978505730628967, correct: True
in: torch.Size([257, 5120]), out: torch.Size([5120]), max_true: 0.7061262726783752, max_false: 0.7873288989067078, correct: False
in: torch.Size([1793, 5120]), out: torch.Size([5120]), max_true: 0.9741931557655334, max_false: 0.95866459608078, correct: True
in: torch.Size([1793, 5120]), out: torch.Size([5120]), max_true: 0.9286792278289795, max_false: 0.898729145526886, correct: True
in: torch.Size([3329, 5120]), out: torch.Size([5120]), max_true: 0.9762709140777588, max_false: 0.9592313170433044, correct: True
in: torch.Size([3329, 5120]), out: torch.Size([5120]), max_true: 0.9494292736053467, max_false: 0.9433051943778992, correct: True
in: torch.Size([1793, 5120]), out: torch.Size([5120]), max_true: 0.9426784515380859, max_false: 0.9482501745223999, correct: False
in: torch.Size([3329, 5120]), out: torch.Size([5120]), max_true: 0.9448408484458923, max_false: 0.9549220204353333, correct: False
