experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The cat_2 images show people walking dogs on leashes in various outdoor settings. The cat_1 images depict people holding or interacting with dogs in close proximity, often indoors or in more intimate settings.\n\nRule: The distinguishing rule is whether the dogs are on leashes and being walked outdoors (cat_2) or being held or closely interacted with, often indoors (cat_1).\n\nTest Image: The test image shows a corgi sitting on a paved path, wearing a bandana, with people walking in the background.\n\nConclusion: cat_2']
1 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The cat_2 images show people walking dogs outdoors, while the cat_1 images show people interacting with dogs indoors or in close-up settings.\nRule: The distinguishing rule is whether the scene is outdoors with people walking dogs or indoors with close-up interactions.\nTest Image: The test image shows a person holding a dog in a close-up setting.\nConclusion: cat_1']
2 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The cat_2 images depict people hugging or embracing each other, while the cat_1 images show people shaking hands or interacting in a non-embracing manner.\nRule: The distinguishing rule is that cat_2 images show people hugging or embracing, whereas cat_1 images do not.\nTest Image: The test image shows two people hugging.\nConclusion: cat_2']
3 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The `cat_2` images depict people hugging or embracing, while the `cat_1` images show people kissing or about to kiss.\n\nRule: The distinguishing rule is that `cat_2` images show people hugging, while `cat_1` images show people kissing.\n\nTest Image: The test image shows two people kissing.\n\nConclusion: cat_1']
4 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The cat_2 images depict groups of people on motorcycles, often in a social or organized setting, such as gatherings, parades, or races. The cat_1 images show individuals or small groups on motorcycles, often in more isolated or less organized settings.\n\nRule: Cat_2 images feature groups of people on motorcycles in social or organized settings, while cat_1 images show individuals or small groups in less organized settings.\n\nTest Image: The test image shows a group of police officers on motorcycles lined up in a formation.\n\nConclusion: cat_2']
5 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The cat_2 images depict groups of people on motorcycles, often in a social or event setting, with multiple riders visible. The cat_1 images show individuals or smaller groups on motorcycles, often in more isolated or competitive settings.\n\nRule: Cat_2 images feature groups of people on motorcycles in social or event settings, while cat_1 images show individuals or smaller groups in more isolated or competitive contexts.\n\nTest Image: The test image shows a person on a motorcycle in a promotional or artistic setting, with a focus on the individual and the motorcycle.\n\nConclusion: cat_1']
6 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The cat_2 images primarily feature motorcycles in motion, often with riders wearing helmets and protective gear. The cat_1 images include a variety of scenes, such as a person walking, a toy motorcycle, and a motorcycle being worked on, which do not involve motorcycles in motion.\n\nRule: The distinguishing rule is that cat_2 images show motorcycles in motion with riders, while cat_1 images do not.\n\nTest Image: The test image shows a group of motorcyclists riding on a road.\n\nConclusion: cat_2']
7 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The cat_2 images primarily feature motorcycles in motion, with riders actively riding them on roads or tracks. The cat_1 images include a variety of scenes, such as a person walking, a toy motorcycle, a motorcycle being washed, and a motorcycle being worked on in a garage, which do not involve active riding.\n\nRule: The distinguishing rule is that cat_2 images show motorcycles being actively ridden, while cat_1 images do not involve active riding.\n\nTest Image: The test image shows a person actively riding a motorcycle on a road.\n\nConclusion: cat_2']
8 | expected:'cat_2' | got='cat_2' | full: ["Analysis: The cat_2 images show people interacting with dogs in various settings, including holding, petting, and walking them. The cat_1 images also show people with dogs, but the interactions seem less direct or the focus is on the dogs alone. The distinguishing factor appears to be the direct interaction between people and dogs.\n\nRule: The distinguishing rule is the presence of direct interaction between people and dogs.\n\nTest Image: The test image shows a man and a woman sitting together with a dog on the woman's lap.\n\nConclusion: cat_2"]
9 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The cat_2 images show people interacting with dogs in various settings, such as holding, petting, or walking them. The cat_1 images also show people with dogs, but the interactions seem less direct or the focus is on the environment rather than the interaction.\n\nRule: The distinguishing rule is the direct interaction between people and dogs, where the focus is on the bond or activity shared between them.\n\nTest Image: The test image shows a person drying a dog with a hairdryer, indicating a direct interaction focused on caring for the dog.\n\nConclusion: cat_2']
10 | expected:'cat_2' | got='None' | full: ['']
