experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9843419194221497, max_false: 0.9839677214622498, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9778649806976318, max_false: 0.9576518535614014, correct: True
in: torch.Size([255, 8192]), out: torch.Size([8192]), max_true: 0.9711647033691406, max_false: 0.9728331565856934, correct: False
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9748964309692383, max_false: 0.940269410610199, correct: True
in: torch.Size([2815, 8192]), out: torch.Size([8192]), max_true: 0.979376494884491, max_false: 0.9750698208808899, correct: True
in: torch.Size([255, 8192]), out: torch.Size([8192]), max_true: 0.9564279913902283, max_false: 0.9448326826095581, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9837231040000916, max_false: 0.9828807711601257, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.965246319770813, max_false: 0.9598637819290161, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9862359762191772, max_false: 0.9848799705505371, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9846236705780029, max_false: 0.9704728126525879, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9716536402702332, max_false: 0.975933849811554, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9763211011886597, max_false: 0.9632299542427063, correct: True
in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.8735434412956238, max_false: 0.8790323734283447, correct: False
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9788756370544434, max_false: 0.9810401797294617, correct: False
in: torch.Size([2815, 8192]), out: torch.Size([8192]), max_true: 0.9843710064888, max_false: 0.9823775291442871, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.985159695148468, max_false: 0.9876405000686646, correct: False
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9840027093887329, max_false: 0.9882522225379944, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9861695766448975, max_false: 0.9759804606437683, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9844218492507935, max_false: 0.9777011275291443, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9841729402542114, max_false: 0.9721933603286743, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.981265127658844, max_false: 0.9797071218490601, correct: True
in: torch.Size([255, 8192]), out: torch.Size([8192]), max_true: 0.979701578617096, max_false: 0.9635035395622253, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.976676344871521, max_false: 0.9793315529823303, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9861041903495789, max_false: 0.9735381603240967, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9837018847465515, max_false: 0.9794837832450867, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9839202761650085, max_false: 0.9735329747200012, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9742026925086975, max_false: 0.9793165326118469, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9677252769470215, max_false: 0.9531773924827576, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9831537008285522, max_false: 0.9841688275337219, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9800776839256287, max_false: 0.9596573710441589, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9881286025047302, max_false: 0.983879804611206, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.986588716506958, max_false: 0.9676143527030945, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9836595058441162, max_false: 0.9872953295707703, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9727205038070679, max_false: 0.9757915735244751, correct: False
in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.9793568849563599, max_false: 0.9829936027526855, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9814828634262085, max_false: 0.981803297996521, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9794102311134338, max_false: 0.9864916205406189, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9813142418861389, max_false: 0.9800935983657837, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9894755482673645, max_false: 0.9920955300331116, correct: False
in: torch.Size([255, 8192]), out: torch.Size([8192]), max_true: 0.9707792401313782, max_false: 0.9604203104972839, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9777193069458008, max_false: 0.9757593274116516, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9854382872581482, max_false: 0.9784160852432251, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9844239354133606, max_false: 0.9891484975814819, correct: False
