experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: batched

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9712799787521362, max_false: 0.9614506959915161, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9253039360046387, max_false: 0.9080384969711304, correct: True
in: torch.Size([257, 8192]), out: torch.Size([8192]), max_true: 0.9717532992362976, max_false: 0.9473572969436646, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.8040765523910522, max_false: 0.6633669137954712, correct: True
in: torch.Size([2817, 8192]), out: torch.Size([8192]), max_true: 0.9700765013694763, max_false: 0.9603732228279114, correct: True
in: torch.Size([257, 8192]), out: torch.Size([8192]), max_true: 0.9513920545578003, max_false: 0.944617748260498, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9882242679595947, max_false: 0.9828900098800659, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9712316989898682, max_false: 0.9722685217857361, correct: False
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.97748202085495, max_false: 0.9724334478378296, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9806905388832092, max_false: 0.975811243057251, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9527648687362671, max_false: 0.9531813263893127, correct: False
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.977526068687439, max_false: 0.97166907787323, correct: True
in: torch.Size([769, 8192]), out: torch.Size([8192]), max_true: 0.8522303700447083, max_false: 0.8581081032752991, correct: False
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9575203061103821, max_false: 0.9607634544372559, correct: False
in: torch.Size([2817, 8192]), out: torch.Size([8192]), max_true: 0.9697348475456238, max_false: 0.9707072377204895, correct: False
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9729267358779907, max_false: 0.973145604133606, correct: False
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9729678630828857, max_false: 0.9763844013214111, correct: False
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9744826555252075, max_false: 0.96677565574646, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9819924235343933, max_false: 0.9682461619377136, correct: True
