experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: single

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.980414092540741, max_false: 0.9720813632011414, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9675151705741882, max_false: 0.9254177808761597, correct: True
in: torch.Size([257, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9743531942367554, max_false: 0.9712582230567932, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9746087789535522, max_false: 0.9177781939506531, correct: True
in: torch.Size([2817, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9775218367576599, max_false: 0.9741599559783936, correct: True
in: torch.Size([257, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9608955383300781, max_false: 0.9479348659515381, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9842689037322998, max_false: 0.978631854057312, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.972294807434082, max_false: 0.9796284437179565, correct: False
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9813330173492432, max_false: 0.9781604409217834, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9860403537750244, max_false: 0.9806373715400696, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9745576977729797, max_false: 0.9610133767127991, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9793727993965149, max_false: 0.9752518534660339, correct: True
in: torch.Size([769, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8873430490493774, max_false: 0.8984931707382202, correct: False
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9663518071174622, max_false: 0.9535194635391235, correct: True
in: torch.Size([2817, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9824934005737305, max_false: 0.9657068848609924, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9860321879386902, max_false: 0.9890012145042419, correct: False
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9857671856880188, max_false: 0.9821094870567322, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9807249307632446, max_false: 0.9812782406806946, correct: False
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9849954843521118, max_false: 0.9671275615692139, correct: True
