experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: vision
  prompt structure: batched

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9709076285362244, max_false: 0.9517697691917419, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9396447539329529, max_false: 0.8820124864578247, correct: True
in: torch.Size([257, 8192]), out: torch.Size([8192]), max_true: 0.8994548320770264, max_false: 0.9022127389907837, correct: False
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9626863598823547, max_false: 0.9440158009529114, correct: True
in: torch.Size([2817, 8192]), out: torch.Size([8192]), max_true: 0.9411846995353699, max_false: 0.9283510446548462, correct: True
in: torch.Size([257, 8192]), out: torch.Size([8192]), max_true: 0.7983524203300476, max_false: 0.7956793904304504, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9704663753509521, max_false: 0.949843168258667, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9679065346717834, max_false: 0.9683215022087097, correct: False
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9678193926811218, max_false: 0.9572486281394958, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9747619032859802, max_false: 0.9663236737251282, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9452703595161438, max_false: 0.9386686086654663, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9520286917686462, max_false: 0.9407406449317932, correct: True
in: torch.Size([769, 8192]), out: torch.Size([8192]), max_true: 0.8933397531509399, max_false: 0.889116644859314, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9485998749732971, max_false: 0.9568592309951782, correct: False
in: torch.Size([2817, 8192]), out: torch.Size([8192]), max_true: 0.9785488247871399, max_false: 0.9599223136901855, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9650933146476746, max_false: 0.978451669216156, correct: False
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.969497799873352, max_false: 0.9795064926147461, correct: False
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.973240077495575, max_false: 0.9587762951850891, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9775235652923584, max_false: 0.9544017910957336, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.972384512424469, max_false: 0.9650484323501587, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.963956356048584, max_false: 0.9653372168540955, correct: False
in: torch.Size([257, 8192]), out: torch.Size([8192]), max_true: 0.8940710425376892, max_false: 0.8913920521736145, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.952059268951416, max_false: 0.950038731098175, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9552156329154968, max_false: 0.9228828549385071, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9695791006088257, max_false: 0.9433854222297668, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9512050747871399, max_false: 0.9226751923561096, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9679997563362122, max_false: 0.9652175307273865, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9605315923690796, max_false: 0.946717381477356, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9842894077301025, max_false: 0.9693260192871094, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9337621331214905, max_false: 0.9162341952323914, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9820993542671204, max_false: 0.9673019647598267, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9724962115287781, max_false: 0.962272584438324, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.96610426902771, max_false: 0.9698213338851929, correct: False
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.8997732996940613, max_false: 0.91246497631073, correct: False
in: torch.Size([769, 8192]), out: torch.Size([8192]), max_true: 0.9456740021705627, max_false: 0.9408854246139526, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9779395461082458, max_false: 0.9696577787399292, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9653910398483276, max_false: 0.9566271901130676, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9545181393623352, max_false: 0.9694322347640991, correct: False
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.969448447227478, max_false: 0.9693607687950134, correct: True
in: torch.Size([257, 8192]), out: torch.Size([8192]), max_true: 0.832706093788147, max_false: 0.8367406725883484, correct: False
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9403142333030701, max_false: 0.9218612313270569, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9662178158760071, max_false: 0.9615779519081116, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9731756448745728, max_false: 0.975747287273407, correct: False
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9836022257804871, max_false: 0.9860833287239075, correct: False
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9711664915084839, max_false: 0.9517905116081238, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9777971506118774, max_false: 0.9790259599685669, correct: False
in: torch.Size([257, 8192]), out: torch.Size([8192]), max_true: 0.8881945013999939, max_false: 0.9182043075561523, correct: False
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9187135696411133, max_false: 0.927422046661377, correct: False
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9754562973976135, max_false: 0.9369930624961853, correct: True
in: torch.Size([769, 8192]), out: torch.Size([8192]), max_true: 0.9072678089141846, max_false: 0.8788672089576721, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9401649832725525, max_false: 0.9267926812171936, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9578714966773987, max_false: 0.970339834690094, correct: False
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9862754940986633, max_false: 0.9654787182807922, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9635869264602661, max_false: 0.9511643648147583, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9774022698402405, max_false: 0.9822865128517151, correct: False
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9536084532737732, max_false: 0.9521179795265198, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9605153203010559, max_false: 0.9604263305664062, correct: True
in: torch.Size([769, 8192]), out: torch.Size([8192]), max_true: 0.9149107336997986, max_false: 0.8830713629722595, correct: True
