experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: vision
  prompt structure: interleaved

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9708989858627319, max_false: 0.951727569103241, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9396186470985413, max_false: 0.8819541931152344, correct: True
in: torch.Size([255, 8192]), out: torch.Size([8192]), max_true: 0.899071216583252, max_false: 0.9017517566680908, correct: False
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9626764059066772, max_false: 0.9439969062805176, correct: True
in: torch.Size([2815, 8192]), out: torch.Size([8192]), max_true: 0.9411600232124329, max_false: 0.9283303022384644, correct: True
in: torch.Size([255, 8192]), out: torch.Size([8192]), max_true: 0.797875702381134, max_false: 0.7952139377593994, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9704534411430359, max_false: 0.9498271942138672, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9678887724876404, max_false: 0.9683046340942383, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9678070545196533, max_false: 0.9572241902351379, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9747680425643921, max_false: 0.9663330316543579, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9452528357505798, max_false: 0.9386608004570007, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9520010948181152, max_false: 0.9407188892364502, correct: True
in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.8933612704277039, max_false: 0.8891211748123169, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9485942125320435, max_false: 0.9568526744842529, correct: False
in: torch.Size([2815, 8192]), out: torch.Size([8192]), max_true: 0.9785360097885132, max_false: 0.9599053263664246, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9650893211364746, max_false: 0.9784432053565979, correct: False
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9694945812225342, max_false: 0.9795036911964417, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9732341766357422, max_false: 0.9587708115577698, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9775111675262451, max_false: 0.9543843269348145, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9723735451698303, max_false: 0.9650270342826843, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9639456272125244, max_false: 0.9653265476226807, correct: False
in: torch.Size([255, 8192]), out: torch.Size([8192]), max_true: 0.8934856057167053, max_false: 0.8908737897872925, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9520429968833923, max_false: 0.9500113725662231, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9552042484283447, max_false: 0.9228537678718567, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9695735573768616, max_false: 0.9433730840682983, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.951166570186615, max_false: 0.9226211309432983, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9679812788963318, max_false: 0.9652082920074463, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9605229496955872, max_false: 0.9467038512229919, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9842904806137085, max_false: 0.9693290591239929, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9337872862815857, max_false: 0.9162236452102661, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9820830225944519, max_false: 0.9672869443893433, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9724968671798706, max_false: 0.962272584438324, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9660915732383728, max_false: 0.9698112607002258, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.8997008204460144, max_false: 0.912390410900116, correct: False
in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.9456548094749451, max_false: 0.9407884478569031, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.977919340133667, max_false: 0.9696489572525024, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9653366208076477, max_false: 0.9565709233283997, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9545018076896667, max_false: 0.9694206714630127, correct: False
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9694550037384033, max_false: 0.9693609476089478, correct: True
in: torch.Size([255, 8192]), out: torch.Size([8192]), max_true: 0.832365870475769, max_false: 0.8364349007606506, correct: False
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9402977824211121, max_false: 0.9218431115150452, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9662026762962341, max_false: 0.9615656137466431, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9731683135032654, max_false: 0.9757430553436279, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.98359215259552, max_false: 0.9860755801200867, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.971153974533081, max_false: 0.951771080493927, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9777940511703491, max_false: 0.9790192246437073, correct: False
in: torch.Size([255, 8192]), out: torch.Size([8192]), max_true: 0.8883588910102844, max_false: 0.9182313084602356, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.918657660484314, max_false: 0.927356481552124, correct: False
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9754504561424255, max_false: 0.9369712471961975, correct: True
in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.9070948958396912, max_false: 0.8786970973014832, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9400793313980103, max_false: 0.9267063736915588, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9578478932380676, max_false: 0.9703257083892822, correct: False
