experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: final
  prompt structure: batched

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([769, 8192]), out: torch.Size([8192]), max_true: 0.9490197896957397, max_false: 0.9284684062004089, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9226129651069641, max_false: 0.8721228241920471, correct: True
in: torch.Size([2817, 8192]), out: torch.Size([8192]), max_true: 0.9416450262069702, max_false: 0.9676483869552612, correct: False
in: torch.Size([769, 8192]), out: torch.Size([8192]), max_true: 0.9173243045806885, max_false: 0.8943848013877869, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9591991901397705, max_false: 0.9744207859039307, correct: False
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9743590950965881, max_false: 0.9633477330207825, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9716152548789978, max_false: 0.9388282299041748, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9523664116859436, max_false: 0.9286691546440125, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9785624146461487, max_false: 0.9566084742546082, correct: True
in: torch.Size([257, 8192]), out: torch.Size([8192]), max_true: 0.946441650390625, max_false: 0.941037654876709, correct: True
in: torch.Size([769, 8192]), out: torch.Size([8192]), max_true: 0.9658424854278564, max_false: 0.9584840536117554, correct: True
in: torch.Size([769, 8192]), out: torch.Size([8192]), max_true: 0.9554880261421204, max_false: 0.953821063041687, correct: True
in: torch.Size([769, 8192]), out: torch.Size([8192]), max_true: 0.9841004014015198, max_false: 0.9711723923683167, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9597814083099365, max_false: 0.9505524635314941, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9852148294448853, max_false: 0.9524702429771423, correct: True
in: torch.Size([257, 8192]), out: torch.Size([8192]), max_true: 0.5184623003005981, max_false: 0.5925738215446472, correct: False
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9806859493255615, max_false: 0.9665490388870239, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.952187716960907, max_false: 0.9611607789993286, correct: False
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9874377250671387, max_false: 0.9819848537445068, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9709425568580627, max_false: 0.9522346258163452, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9659652709960938, max_false: 0.9624512791633606, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9597628116607666, max_false: 0.9617711901664734, correct: False
in: torch.Size([3329, 8192]), out: torch.Size([8192]), max_true: 0.9831720590591431, max_false: 0.9722687005996704, correct: True
in: torch.Size([769, 8192]), out: torch.Size([8192]), max_true: 0.9629862904548645, max_false: 0.9553406834602356, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), max_true: 0.9561970233917236, max_false: 0.9588180184364319, correct: False
