experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: vision
  prompt structure: interleaved

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.8899850845336914, max_false: 0.8280371427536011, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9271768927574158, max_false: 0.9133272171020508, correct: True
in: torch.Size([2815, 8192]), out: torch.Size([8192]), max_true: 0.8975028395652771, max_false: 0.9312969446182251, correct: False
in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.8218200206756592, max_false: 0.8190616369247437, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9730051755905151, max_false: 0.9480412006378174, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9324997067451477, max_false: 0.9333614706993103, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.958085298538208, max_false: 0.9134043455123901, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9131171107292175, max_false: 0.9136657118797302, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9495944976806641, max_false: 0.9481138586997986, correct: True
in: torch.Size([255, 8192]), out: torch.Size([8192]), max_true: 0.7833104133605957, max_false: 0.7881107330322266, correct: False
in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.8927768468856812, max_false: 0.8763023018836975, correct: True
in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.8735782504081726, max_false: 0.8796409964561462, correct: False
in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.8914318084716797, max_false: 0.8873907923698425, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9450628161430359, max_false: 0.9471146464347839, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.976672351360321, max_false: 0.9036678075790405, correct: True
in: torch.Size([255, 8192]), out: torch.Size([8192]), max_true: 0.8279892206192017, max_false: 0.8758722543716431, correct: False
