experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: interleaved

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9400655627250671, max_false: 0.9439092874526978, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.947771430015564, max_false: 0.8943289518356323, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9499987959861755, max_false: 0.9501954913139343, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.929970920085907, max_false: 0.9018352031707764, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8984350562095642, max_false: 0.8920609951019287, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8992306590080261, max_false: 0.8992475867271423, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9518852829933167, max_false: 0.950788140296936, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9380803108215332, max_false: 0.9185262322425842, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9344061017036438, max_false: 0.9518210291862488, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9375545382499695, max_false: 0.9104816317558289, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9030043482780457, max_false: 0.9116412401199341, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9224123954772949, max_false: 0.8947943449020386, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8579531908035278, max_false: 0.8747790455818176, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9313843846321106, max_false: 0.9373161196708679, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9127586483955383, max_false: 0.903191089630127, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9423872232437134, max_false: 0.943562388420105, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9521668553352356, max_false: 0.9272491931915283, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9509418606758118, max_false: 0.904455304145813, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9586008191108704, max_false: 0.9358276128768921, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.959222674369812, max_false: 0.9251675605773926, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9074202179908752, max_false: 0.9089698791503906, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9617577195167542, max_false: 0.9333639144897461, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9197503924369812, max_false: 0.9132807850837708, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9687541127204895, max_false: 0.9337900280952454, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.937126636505127, max_false: 0.9269285798072815, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9307368397712708, max_false: 0.9074602723121643, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9470637440681458, max_false: 0.9645808935165405, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9546669125556946, max_false: 0.9282921552658081, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9351651072502136, max_false: 0.9332351088523865, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9111961126327515, max_false: 0.8953762650489807, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9372062087059021, max_false: 0.9347099661827087, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9616808295249939, max_false: 0.9260081052780151, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9490793943405151, max_false: 0.9644526243209839, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9263027310371399, max_false: 0.9126032590866089, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9398815631866455, max_false: 0.9584752321243286, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9496116042137146, max_false: 0.9270187616348267, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9382386207580566, max_false: 0.9554684162139893, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9552510976791382, max_false: 0.9407814145088196, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9357841610908508, max_false: 0.952642023563385, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9432978630065918, max_false: 0.9131274819374084, correct: True
