experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.944013774394989, max_false: 0.9493021965026855, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.952033519744873, max_false: 0.9036613702774048, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9453855156898499, max_false: 0.9460097551345825, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9306188821792603, max_false: 0.9025362133979797, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8993713855743408, max_false: 0.8949057459831238, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8978357911109924, max_false: 0.8946303725242615, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.949704110622406, max_false: 0.9497956037521362, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9397496581077576, max_false: 0.9221218228340149, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9399477243423462, max_false: 0.9534884095191956, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9412785172462463, max_false: 0.9165700078010559, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8985053300857544, max_false: 0.9073058366775513, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9246737957000732, max_false: 0.8949254155158997, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8537986278533936, max_false: 0.8754445314407349, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9320398569107056, max_false: 0.9347574710845947, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.911620020866394, max_false: 0.9045653343200684, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.945905327796936, max_false: 0.9457281231880188, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9485297203063965, max_false: 0.9240611791610718, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9496642351150513, max_false: 0.8984284996986389, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9641808271408081, max_false: 0.9405709505081177, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9609053134918213, max_false: 0.9267948865890503, correct: True
