experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: batched

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9341965913772583, max_false: 0.9202693104743958, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.915817379951477, max_false: 0.8790504932403564, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.939756453037262, max_false: 0.9196109175682068, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9148463010787964, max_false: 0.8778727054595947, correct: True
in: torch.Size([459, 3072]), out: torch.Size([3072]), max_true: 0.9006340503692627, max_false: 0.8788824677467346, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8941723704338074, max_false: 0.8952307105064392, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9480352997779846, max_false: 0.9142680168151855, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9089815616607666, max_false: 0.9076578617095947, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9231684803962708, max_false: 0.9208394289016724, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9177717566490173, max_false: 0.8998754024505615, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8956673741340637, max_false: 0.8818358778953552, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9054105877876282, max_false: 0.8977126479148865, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8063592910766602, max_false: 0.8327722549438477, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8974564075469971, max_false: 0.9166310429573059, correct: False
in: torch.Size([459, 3072]), out: torch.Size([3072]), max_true: 0.9111117124557495, max_false: 0.8969326019287109, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9214087128639221, max_false: 0.9386792778968811, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9446343779563904, max_false: 0.8973529934883118, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.940657913684845, max_false: 0.8893439173698425, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9570674896240234, max_false: 0.9085805416107178, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9335079789161682, max_false: 0.9230344295501709, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9026020169258118, max_false: 0.8871157169342041, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9426238536834717, max_false: 0.924698531627655, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9211143255233765, max_false: 0.8946125507354736, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9410449266433716, max_false: 0.920764684677124, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9354478120803833, max_false: 0.9020984172821045, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8978851437568665, max_false: 0.8955793380737305, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9288613796234131, max_false: 0.9266557097434998, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9183436632156372, max_false: 0.9042261838912964, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9257508516311646, max_false: 0.9229416251182556, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8867026567459106, max_false: 0.8828224539756775, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9391215443611145, max_false: 0.9134588241577148, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9404871463775635, max_false: 0.9159090518951416, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9355076551437378, max_false: 0.9374896287918091, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8983855247497559, max_false: 0.8984661102294922, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9438520073890686, max_false: 0.9300580620765686, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9147140383720398, max_false: 0.919417142868042, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.92906254529953, max_false: 0.921210765838623, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9228876233100891, max_false: 0.9345200061798096, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9378858804702759, max_false: 0.9394062757492065, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9129425287246704, max_false: 0.8888619542121887, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9084922671318054, max_false: 0.8889452219009399, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9071668386459351, max_false: 0.9070963859558105, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9160847663879395, max_false: 0.9054630994796753, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9353294968605042, max_false: 0.9439623355865479, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9142441749572754, max_false: 0.91152024269104, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9169826507568359, max_false: 0.9158846139907837, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9315681457519531, max_false: 0.9177154302597046, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8913997411727905, max_false: 0.8990351557731628, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9374229311943054, max_false: 0.9220065474510193, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.937565803527832, max_false: 0.9168753623962402, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9089722037315369, max_false: 0.8950097560882568, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9207489490509033, max_false: 0.9498081803321838, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9421812891960144, max_false: 0.929405927658081, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9151511192321777, max_false: 0.8962449431419373, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9246490001678467, max_false: 0.9126013517379761, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8996962904930115, max_false: 0.9042807817459106, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9258760809898376, max_false: 0.9172170758247375, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8792314529418945, max_false: 0.883657693862915, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9128274321556091, max_false: 0.9035818576812744, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9297664761543274, max_false: 0.9289018511772156, correct: True
in: torch.Size([459, 3072]), out: torch.Size([3072]), max_true: 0.8614336252212524, max_false: 0.8753198385238647, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9442471265792847, max_false: 0.8788851499557495, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9468291401863098, max_false: 0.9306063055992126, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.918723464012146, max_false: 0.9137250781059265, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9189900755882263, max_false: 0.9165793061256409, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9214316010475159, max_false: 0.9212580323219299, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9353975057601929, max_false: 0.9242483973503113, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9094261527061462, max_false: 0.9116936922073364, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9436019062995911, max_false: 0.9358349442481995, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8669497966766357, max_false: 0.883409857749939, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9322413206100464, max_false: 0.9113065004348755, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9318986535072327, max_false: 0.9318411946296692, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9167181253433228, max_false: 0.9074448347091675, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9499889016151428, max_false: 0.944790244102478, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9224106073379517, max_false: 0.9157652258872986, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9340308904647827, max_false: 0.914536714553833, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9315701723098755, max_false: 0.9348501563072205, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.939311146736145, max_false: 0.9282199740409851, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9063552618026733, max_false: 0.8815458416938782, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.886317789554596, max_false: 0.9044194221496582, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9266128540039062, max_false: 0.8408576250076294, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9207224249839783, max_false: 0.903445839881897, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9292868375778198, max_false: 0.9297094345092773, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9179478287696838, max_false: 0.9071822762489319, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9127071499824524, max_false: 0.9230711460113525, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9042391777038574, max_false: 0.8896056413650513, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.935867428779602, max_false: 0.9007352590560913, correct: True
