experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: vision
  prompt structure: batched

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9186443090438843, max_false: 0.8879754543304443, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8425548672676086, max_false: 0.7378042936325073, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9380158185958862, max_false: 0.8999386429786682, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8793109059333801, max_false: 0.831050455570221, correct: True
in: torch.Size([459, 3072]), out: torch.Size([3072]), max_true: 0.8256803154945374, max_false: 0.7819854617118835, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8476811051368713, max_false: 0.8520591855049133, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.94795823097229, max_false: 0.9106910228729248, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8995721340179443, max_false: 0.8775889873504639, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9165484309196472, max_false: 0.9052184820175171, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9172602295875549, max_false: 0.8964923620223999, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8587427735328674, max_false: 0.8537047505378723, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8753211498260498, max_false: 0.8441071510314941, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.796351432800293, max_false: 0.8115279674530029, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8821389079093933, max_false: 0.8857420086860657, correct: False
in: torch.Size([459, 3072]), out: torch.Size([3072]), max_true: 0.865218997001648, max_false: 0.8470376133918762, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9029226899147034, max_false: 0.9082196354866028, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9232474565505981, max_false: 0.8963744044303894, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9239054322242737, max_false: 0.8658392429351807, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9503575563430786, max_false: 0.8813599944114685, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9222206473350525, max_false: 0.8967955708503723, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.879892885684967, max_false: 0.8389652371406555, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9392389059066772, max_false: 0.8940269947052002, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9157668352127075, max_false: 0.8777524828910828, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9323956966400146, max_false: 0.8557299971580505, correct: True
