experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: final
  prompt structure: interleaved

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9356781840324402, max_false: 0.9099125266075134, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9150307178497314, max_false: 0.8741358518600464, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9306289553642273, max_false: 0.9409065246582031, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8872106671333313, max_false: 0.8465094566345215, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9527217745780945, max_false: 0.9435954689979553, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9338389039039612, max_false: 0.8943042159080505, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9306782484054565, max_false: 0.9309336543083191, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9119769334793091, max_false: 0.9138006567955017, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9371401071548462, max_false: 0.944593071937561, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9141753911972046, max_false: 0.905438244342804, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.932620644569397, max_false: 0.9296171069145203, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.943909227848053, max_false: 0.9341857433319092, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9560926556587219, max_false: 0.9534640312194824, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9377005100250244, max_false: 0.9018263816833496, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9490489363670349, max_false: 0.9150620102882385, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.898618221282959, max_false: 0.8478416800498962, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9496011734008789, max_false: 0.946481466293335, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9375690221786499, max_false: 0.9183148145675659, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9327750205993652, max_false: 0.9135397672653198, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.911414623260498, max_false: 0.8889048099517822, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9106972813606262, max_false: 0.9231484532356262, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9062869548797607, max_false: 0.8825697302818298, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9280930757522583, max_false: 0.935994565486908, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9443945288658142, max_false: 0.9252229928970337, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9239770174026489, max_false: 0.9279358983039856, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8494722247123718, max_false: 0.8193583488464355, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.958178699016571, max_false: 0.9428787231445312, correct: True
