experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: final
  prompt structure: labeled

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9346417188644409, max_false: 0.9045807123184204, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9182186722755432, max_false: 0.8765766024589539, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9313746094703674, max_false: 0.9365854263305664, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8903935551643372, max_false: 0.849040687084198, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9609795808792114, max_false: 0.9484424591064453, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9295885562896729, max_false: 0.8869373202323914, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9302384257316589, max_false: 0.9301347136497498, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9162783622741699, max_false: 0.9185975193977356, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9452350735664368, max_false: 0.951947033405304, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9071740508079529, max_false: 0.8986418843269348, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9281339049339294, max_false: 0.9293398857116699, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.948993444442749, max_false: 0.9400080442428589, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9656594395637512, max_false: 0.9568929672241211, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9362012147903442, max_false: 0.9034067392349243, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9492464065551758, max_false: 0.9176363945007324, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.892093300819397, max_false: 0.8390859961509705, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9550666213035583, max_false: 0.9491316080093384, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9446229338645935, max_false: 0.9265280365943909, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.938340961933136, max_false: 0.9185648560523987, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9117029905319214, max_false: 0.8911991119384766, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9083693623542786, max_false: 0.9191864728927612, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9042696356773376, max_false: 0.883003294467926, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9182841777801514, max_false: 0.9312722682952881, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.944401741027832, max_false: 0.9272096157073975, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9295933246612549, max_false: 0.9319148063659668, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8439658284187317, max_false: 0.8161062598228455, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9495841264724731, max_false: 0.9343494772911072, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9329645037651062, max_false: 0.9115961790084839, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9588556289672852, max_false: 0.9512854814529419, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8902854919433594, max_false: 0.8848138451576233, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8964284062385559, max_false: 0.9072043895721436, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9154372811317444, max_false: 0.9127452373504639, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9376778602600098, max_false: 0.9154364466667175, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9021223187446594, max_false: 0.8679013252258301, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8946488499641418, max_false: 0.8503642082214355, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9241300821304321, max_false: 0.9123393297195435, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8939467072486877, max_false: 0.8870065212249756, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9184876680374146, max_false: 0.8791828155517578, correct: True
