experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: final
  prompt structure: batched

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9336506724357605, max_false: 0.8949626684188843, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9012400507926941, max_false: 0.8689851760864258, correct: True
in: torch.Size([459, 3072]), out: torch.Size([3072]), max_true: 0.9009173512458801, max_false: 0.8982893824577332, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8592780828475952, max_false: 0.811866044998169, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9475263953208923, max_false: 0.9134221076965332, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9061764478683472, max_false: 0.8868067264556885, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9375924468040466, max_false: 0.9212163090705872, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8770798444747925, max_false: 0.8991343975067139, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9204160571098328, max_false: 0.9033804535865784, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8758102655410767, max_false: 0.8841837644577026, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9298902750015259, max_false: 0.9037811160087585, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9069193601608276, max_false: 0.9221892952919006, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9526456594467163, max_false: 0.922400712966919, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.896514356136322, max_false: 0.8788233399391174, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.951885461807251, max_false: 0.8843942880630493, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9048575162887573, max_false: 0.8679359555244446, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.947961151599884, max_false: 0.9189478754997253, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8938409090042114, max_false: 0.8903002738952637, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9479355216026306, max_false: 0.9134116768836975, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9001726508140564, max_false: 0.8894144892692566, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9131359457969666, max_false: 0.9097480177879333, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9062654376029968, max_false: 0.8853758573532104, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9326097369194031, max_false: 0.9288365840911865, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9230816960334778, max_false: 0.9037540555000305, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9361735582351685, max_false: 0.910731315612793, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8266611099243164, max_false: 0.8168865442276001, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9554377794265747, max_false: 0.9179902076721191, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9030320644378662, max_false: 0.9135673642158508, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9423850774765015, max_false: 0.9209391474723816, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8558130860328674, max_false: 0.8669239282608032, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9047596454620361, max_false: 0.9030426740646362, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8821702599525452, max_false: 0.8922794461250305, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9167322516441345, max_false: 0.8571498990058899, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8823673129081726, max_false: 0.8493173122406006, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8757509589195251, max_false: 0.8116642832756042, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8987301588058472, max_false: 0.8746291399002075, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8976888656616211, max_false: 0.8710126876831055, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8978540897369385, max_false: 0.8631398677825928, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9539104104042053, max_false: 0.9391209483146667, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9413303732872009, max_false: 0.920814037322998, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9358776211738586, max_false: 0.9015957713127136, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8625754117965698, max_false: 0.852405846118927, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9518267512321472, max_false: 0.9387553334236145, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8713403344154358, max_false: 0.8963524103164673, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9452934265136719, max_false: 0.8838820457458496, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8896785974502563, max_false: 0.8681593537330627, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9277289509773254, max_false: 0.8681998252868652, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8923861980438232, max_false: 0.8685634136199951, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9468101859092712, max_false: 0.9140727519989014, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8944372534751892, max_false: 0.8980652689933777, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9462019205093384, max_false: 0.905647873878479, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8465366959571838, max_false: 0.8312195539474487, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9236699342727661, max_false: 0.9130054116249084, correct: True
in: torch.Size([459, 3072]), out: torch.Size([3072]), max_true: 0.857847273349762, max_false: 0.8326345682144165, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9503313899040222, max_false: 0.8628613352775574, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9074387550354004, max_false: 0.8515259027481079, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9166090488433838, max_false: 0.8957197666168213, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9151872992515564, max_false: 0.916869580745697, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9267112016677856, max_false: 0.846026599407196, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9249553084373474, max_false: 0.887983500957489, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9128226041793823, max_false: 0.8411428928375244, correct: True
in: torch.Size([471, 3072]), out: torch.Size([3072]), max_true: 0.8344316482543945, max_false: 0.795342743396759, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9365795254707336, max_false: 0.9333624243736267, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8860872983932495, max_false: 0.8815531730651855, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9442509412765503, max_false: 0.919808030128479, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8905179500579834, max_false: 0.9025782942771912, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9283180832862854, max_false: 0.9174112677574158, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8891457915306091, max_false: 0.8845475912094116, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9487613439559937, max_false: 0.9082807898521423, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8845174312591553, max_false: 0.8496283292770386, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.901213526725769, max_false: 0.8731748461723328, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9478796720504761, max_false: 0.9278286695480347, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9415212869644165, max_false: 0.9222748875617981, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9163234233856201, max_false: 0.9075310230255127, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9359355568885803, max_false: 0.930269718170166, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9284635782241821, max_false: 0.9147966504096985, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9406254887580872, max_false: 0.918865978717804, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8964450359344482, max_false: 0.8804545402526855, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.941605269908905, max_false: 0.8668531775474548, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8784109354019165, max_false: 0.8304475545883179, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9380120038986206, max_false: 0.8840538859367371, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8803138136863708, max_false: 0.884373664855957, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9369685649871826, max_false: 0.9302675724029541, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9230147004127502, max_false: 0.9229156970977783, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9355976581573486, max_false: 0.8481510281562805, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8660842776298523, max_false: 0.8223093152046204, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9352867007255554, max_false: 0.8856354355812073, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9300380945205688, max_false: 0.8671414256095886, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9272665977478027, max_false: 0.9165843725204468, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9092286229133606, max_false: 0.8898259401321411, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8261036276817322, max_false: 0.8273988366127014, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.7730740904808044, max_false: 0.8371573686599731, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9444814920425415, max_false: 0.8747731447219849, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9105207920074463, max_false: 0.85002201795578, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9380952715873718, max_false: 0.9246834516525269, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.933791995048523, max_false: 0.8968573212623596, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9404533505439758, max_false: 0.9261870980262756, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9181587100028992, max_false: 0.9049393534660339, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9486659169197083, max_false: 0.9313833713531494, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9126188158988953, max_false: 0.9228054285049438, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9396266341209412, max_false: 0.9090927243232727, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9005334973335266, max_false: 0.8680827617645264, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.952445387840271, max_false: 0.7784519195556641, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8713194131851196, max_false: 0.7285380363464355, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9328063130378723, max_false: 0.92995685338974, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9062798023223877, max_false: 0.911546528339386, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9476264715194702, max_false: 0.8824201822280884, correct: True
in: torch.Size([459, 3072]), out: torch.Size([3072]), max_true: 0.8809524774551392, max_false: 0.8545315265655518, correct: True
