experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: vision
  prompt structure: batched

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9165648818016052, max_false: 0.8250970840454102, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8345053791999817, max_false: 0.8130249977111816, correct: True
in: torch.Size([459, 3072]), out: torch.Size([3072]), max_true: 0.836159348487854, max_false: 0.8400191068649292, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.7828336954116821, max_false: 0.8083622455596924, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.950666069984436, max_false: 0.878873348236084, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8777031898498535, max_false: 0.8118752837181091, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9144133925437927, max_false: 0.8450295925140381, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8116005063056946, max_false: 0.809049665927887, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8779626488685608, max_false: 0.8187471628189087, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8296968936920166, max_false: 0.8079456090927124, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9019829630851746, max_false: 0.876063883304596, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8869620561599731, max_false: 0.8756490349769592, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.948136031627655, max_false: 0.903290331363678, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8590762615203857, max_false: 0.8220775723457336, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9202756881713867, max_false: 0.7771157622337341, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8889786601066589, max_false: 0.8355432748794556, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.953434407711029, max_false: 0.8987026214599609, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8435078263282776, max_false: 0.7915661334991455, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9219248294830322, max_false: 0.8448826670646667, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8807377219200134, max_false: 0.8225603103637695, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8047986030578613, max_false: 0.8102028369903564, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.7959122061729431, max_false: 0.7965947389602661, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9262076020240784, max_false: 0.9102166891098022, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8744792938232422, max_false: 0.8713442087173462, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9037960767745972, max_false: 0.888769268989563, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.7649339437484741, max_false: 0.7611779570579529, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9563949108123779, max_false: 0.9021563529968262, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8606398105621338, max_false: 0.839785099029541, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9094809293746948, max_false: 0.8682233691215515, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8182892799377441, max_false: 0.8078123331069946, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.8046075701713562, max_false: 0.8134385347366333, correct: False
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.821923017501831, max_false: 0.815064549446106, correct: True
in: torch.Size([759, 3072]), out: torch.Size([3072]), max_true: 0.9046875834465027, max_false: 0.7949447631835938, correct: True
