experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: vision
  prompt structure: interleaved

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9165753126144409, max_false: 0.8251187801361084, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8345274329185486, max_false: 0.8130493760108948, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8361868858337402, max_false: 0.840049684047699, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7828649878501892, max_false: 0.8083937168121338, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9506730437278748, max_false: 0.8788899779319763, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8777170777320862, max_false: 0.8118965029716492, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9144230484962463, max_false: 0.8450464010238647, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8116195797920227, max_false: 0.8090697526931763, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8779740333557129, max_false: 0.8187642097473145, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8297126293182373, max_false: 0.8079625368118286, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.901994526386261, max_false: 0.8760811686515808, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8869830965995789, max_false: 0.8756662011146545, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.948142945766449, max_false: 0.9033027291297913, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.859091579914093, max_false: 0.8220968246459961, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9202868342399597, max_false: 0.7771427631378174, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8889873623847961, max_false: 0.8355558514595032, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9534373879432678, max_false: 0.8987115621566772, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8435372114181519, max_false: 0.7916018962860107, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9219326376914978, max_false: 0.8448979258537292, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8807535171508789, max_false: 0.8225817680358887, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8048201203346252, max_false: 0.8102238774299622, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7959294319152832, max_false: 0.7966104745864868, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9262098073959351, max_false: 0.9102219939231873, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.874497652053833, max_false: 0.8713628053665161, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9038075804710388, max_false: 0.8887816667556763, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7649575471878052, max_false: 0.7612011432647705, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.956400454044342, max_false: 0.9021683931350708, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8606573343276978, max_false: 0.8398041129112244, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.909493625164032, max_false: 0.8682423830032349, correct: True
