experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The `cat_2` images show people walking multiple dogs in urban settings, while the `cat_1` images show people interacting with single dogs in various settings.\n\nRule: `cat_2` images have multiple dogs being walked by people in urban environments.\n\nTest Image: A single dog sitting on the ground in an urban setting.\n\nConclusion: cat_1\n']'
1 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images show people walking their dogs in various urban settings, while the `cat_1` images show people interacting with dogs in different contexts, including indoors and close-up shots.\n\nRule: The distinguishing rule is that `cat_2` images depict people walking their dogs in outdoor urban environments.\n\nTest Image: A man and a woman are kissing a white dog.\n\nConclusion: cat_1\n']'
2 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show people hugging each other in public places, while the `cat_1` images show people kissing each other in various settings.\n\nRule: The distinguishing rule is that `cat_2` images show hugging, whereas `cat_1` images show kissing.\n\nTest Image: The test image shows a man and a woman hugging each other.\n\nConclusion: cat_2\n']'
3 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images show people hugging or embracing each other in public places, while the `cat_1` images show people kissing or in intimate poses.\n\nRule: The distinguishing rule is that `cat_2` images show hugging or embracing, whereas `cat_1` images show kissing or intimate poses.\n\nTest Image: The test image shows a man and a woman in close proximity, appearing to kiss.\n\nConclusion: cat_1\n']'
4 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The `cat_2` images show groups of people standing or riding motorcycles in a casual setting, while the `cat_1` images show individuals performing stunts or riding motorcycles in a more dynamic and action-packed manner.\n\nRule: The images are categorized as `cat_2` if they show groups of people in a casual setting with motorcycles, and as `cat_1` if they show individuals performing stunts or in action-packed settings.\n\nTest Image: The test image shows a row of motorcycles parked against a wall with no people present.\n\nConclusion: cat_1']'
5 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images show groups of people posing with their motorcycles, while the `cat_1` images show people riding motorcycles, including stunts and races.\n\nRule: If the image shows people posing with their motorcycles, it is `cat_2`. If the image shows people riding motorcycles, it is `cat_1`.\n\nTest Image: The image shows a pin-up girl posing on a Harley Davidson motorcycle.\n\nConclusion: cat_1\n']'
6 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images show motorcycles being ridden by individuals or groups on the road, while the cat_1 images show motorcycles being ridden in off-road or stunt scenarios.\n\nRule: Cat_2 images show motorcycles on regular roads, while cat_1 images show motorcycles in off-road or stunt scenarios.\n\nTest Image: The test image shows a group of motorcycles riding on a regular road.\n\nConclusion: cat_2\n']'
7 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images show motorcycles being ridden by individuals, while the cat_1 images show motorcycles being either ridden or worked on but not actively driven on a road.\n\nRule: Cat_2 images show motorcycles being ridden on the road, while cat_1 images do not show motorcycles being ridden on the road.\n\nTest Image: A man sitting on a motorcycle in a park.\n\nConclusion: cat_1\n']'
8 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show people holding or interacting with a single dog, while the `cat_1` images show people with multiple dogs or in different settings without a clear interaction.\n\nRule: `cat_2` images depict a person interacting with a single dog.\n\nTest Image: A man and a woman sitting together, with the woman holding a dog.\n\nConclusion: cat_2\n']'
9 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images show people holding or interacting with a single dog, while the `cat_1` images show multiple dogs or people interacting with multiple dogs.\n\nRule: The images belong to `cat_2` if they show a person interacting with a single dog.\n\nTest Image: A person is grooming a single dog in a grooming tub.\n\nConclusion: cat_2\n']'
10 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show people using laptops in various settings, while the `cat_1` images show people with laptops in more unusual or less conventional settings.\n\nRule: People using laptops in conventional or typical settings.\n\nTest Image: A person using a laptop while sitting on a couch in a living room.\n\nConclusion: cat_2\n']'
11 | expected:'cat_1' | got='cat_2 | full: ["Analysis: The `cat_2` images show people using laptops in various settings, while the `cat_1` images show people with laptops in more casual or unusual settings, such as holding up an X-ray or working on a laptop's internal components.\n\nRule: People in `cat_2` are using laptops in typical, professional, or everyday environments.\n\nTest Image: A person sitting outside on a chair using a laptop.\n\nConclusion: cat_2\n"]'
12 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images show groups of people riding motorcycles together, often in formation or on a road. The cat_1 images show individuals working on motorcycles or motorcycles parked without riders.\n\nRule: Cat_2 images depict groups of people riding motorcycles together, while cat_1 images show individuals working on motorcycles or motorcycles without riders.\n\nTest Image: The test image shows a poster for a dirt bike school with multiple motorcycles and people.\n\nConclusion: cat_1']'
13 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The cat_2 images show motorcycles being ridden by individuals or groups in various settings, including highways, city streets, and race tracks. The cat_1 images show motorcycles being worked on or maintained by people, with tools and equipment visible.\n\nRule: Cat_2 images depict motorcycles being ridden, while cat_1 images show motorcycles being worked on or maintained.\n\nTest Image: A person riding a motorcycle in a forested area.\n\nConclusion: cat_2\n']'
14 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show people riding motorcycles on the road, while the `cat_1` images show people riding dirt bikes or motorcycles in a dirt or off-road environment.\n\nRule: The distinguishing rule is the type of terrain or environment where the motorcycles are being ridden. If the motorcycle is on a road, it is `cat_2`. If it is on dirt or off-road, it is `cat_1`.\n\nTest Image: The test image shows a group of people riding motorcycles on the road.\n\nConclusion: cat_2\n']'
15 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images show people riding motorcycles on the road, while the `cat_1` images show people riding dirt bikes or performing stunts.\n\nRule: The distinguishing rule is whether the motorcycle is on a road or not. If the motorcycle is on a road, it belongs to `cat_2`. If it is on dirt or being used for stunts, it belongs to `cat_1`.\n\nTest Image: The test image shows a person riding a motorcycle on a road.\n\nConclusion: cat_2\n']'
16 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show individuals operating or interacting with machinery or vehicles, specifically train controls. The `cat_1` images show individuals in various settings, but not interacting with machinery or vehicle controls.\n\nRule: The images belong to `cat_2` if they show individuals interacting with machinery or vehicle controls, specifically train controls.\n\nTest Image: The image shows an individual interacting with machinery or vehicle controls.\n\nConclusion: cat_2\n']'
17 | expected:'cat_1' | got='cat_1 | full: ["Analysis: The `cat_2` images show individuals operating or interacting with the control panels of vehicles, specifically trains. The individuals are seen in the driver's seat or operating controls, indicating they are likely drivers or operators.\n\nRule: The distinguishing rule is that `cat_2` images show individuals operating or interacting with the control panels of vehicles, specifically trains.\n\nTest Image: The test image shows a group of people standing near a train, but none of them are operating the controls or in the driver's seat.\n\nConclusion: cat_1"]'
18 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show individuals working on or cleaning motorcycles, while the `cat_1` images show motorcycles in action or being ridden.\n\nRule: The distinguishing rule is that `cat_2` images depict people working on or cleaning motorcycles, whereas `cat_1` images show motorcycles being ridden or in action.\n\nTest Image: The test image shows a man working on a motorcycle.\n\nConclusion: cat_2\n']'
19 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images show individuals working on or cleaning motorcycles, while the `cat_1` images show motorcycles in action, such as racing or performing stunts.\n\nRule: The images are categorized based on whether they show motorcycles being worked on or cleaned (cat_2) or motorcycles in action (cat_1).\n\nTest Image: The test image shows a person riding a motorcycle on a road.\n\nConclusion: cat_1\n']'
20 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images show people playing sports, while the cat_1 images show people standing or walking with sports equipment.\nRule: The images are categorized as cat_2 if they show people actively playing sports.\nTest Image: People walking on a street.\nConclusion: cat_1\n']'
21 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images show people playing soccer, while the `cat_1` images show people playing other sports like tennis, volleyball, and basketball.\n\nRule: The images belong to `cat_2` if they depict people playing soccer.\n\nTest Image: The image shows two people playing soccer.\n\nConclusion: cat_2\n']'
22 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show motorcycles on paved roads, while the `cat_1` images show motorcycles on dirt tracks or off-road.\n\nRule: The distinguishing rule is whether the motorcycle is on a paved road or a dirt track.\n\nTest Image: The image shows motorcycles on a paved road.\n\nConclusion: cat_2\n']'
23 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images show motorcycles on paved roads or race tracks, while the `cat_1` images show motorcycles on dirt tracks or off-road environments.\n\nRule: The distinguishing rule is the type of terrain the motorcycles are on. If the motorcycle is on a paved road or race track, it belongs to `cat_2`. If it is on a dirt track or off-road, it belongs to `cat_1`.\n\nTest Image: The test image shows multiple motorcycles on a paved road.\n\nConclusion: cat_2\n']'
24 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show people kissing or being kissed by their dogs, while the `cat_1` images show people interacting with their dogs in other ways, such as playing or walking.\n\nRule: The distinguishing rule is that `cat_2` images must show a person kissing or being kissed by their dog.\n\nTest Image: The test image shows a person kissing a small dog.\n\nConclusion: cat_2\n']'
25 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images show people interacting closely with a single dog, often in affectionate or playful ways. The `cat_1` images show multiple dogs or dogs in different contexts without close interaction with people.\n\nRule: `cat_2` images depict a single dog interacting closely with a person, often in an affectionate or playful manner.\n\nTest Image: A person walking a dog on a leash in an urban setting.\n\nConclusion: cat_1\n']'
26 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show people performing skateboard tricks, while the `cat_1` images show people holding or standing with skateboards but not performing tricks.\n\nRule: The images belong to `cat_2` if they show people performing skateboard tricks.\n\nTest Image: The image shows a person performing a skateboard trick.\n\nConclusion: cat_2\n']'
