experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: interleaved

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9163060188293457, max_false: 0.9096177220344543, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9280314445495605, max_false: 0.8754200339317322, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9486078023910522, max_false: 0.9517645835876465, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8784445524215698, max_false: 0.848806619644165, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9190150499343872, max_false: 0.8839709758758545, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8349112272262573, max_false: 0.807866096496582, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9379093647003174, max_false: 0.9201905131340027, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.918887197971344, max_false: 0.9034789800643921, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9378917217254639, max_false: 0.922754168510437, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9247289896011353, max_false: 0.9094669818878174, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8744872808456421, max_false: 0.8726099729537964, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8740831613540649, max_false: 0.8680651783943176, correct: True
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.8064534664154053, max_false: 0.8170974254608154, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9101045727729797, max_false: 0.9185653924942017, correct: False
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9225685000419617, max_false: 0.9130662679672241, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9424508213996887, max_false: 0.9384756684303284, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9450192451477051, max_false: 0.8947688341140747, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9255783557891846, max_false: 0.8714309334754944, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9543214440345764, max_false: 0.9010644555091858, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9162052869796753, max_false: 0.8863508105278015, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.911741316318512, max_false: 0.9073699712753296, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9598187208175659, max_false: 0.9308050870895386, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9385710954666138, max_false: 0.9112277626991272, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9455699920654297, max_false: 0.9030520915985107, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9366908073425293, max_false: 0.8982768654823303, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8920786380767822, max_false: 0.8463968634605408, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9522761106491089, max_false: 0.9367620944976807, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9476505517959595, max_false: 0.9190424680709839, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9285365343093872, max_false: 0.9355865716934204, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9031704068183899, max_false: 0.8561862707138062, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9344093799591064, max_false: 0.9135331511497498, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9544311761856079, max_false: 0.9084115624427795, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9431475400924683, max_false: 0.9495900273323059, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9133102893829346, max_false: 0.9222444891929626, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.930814266204834, max_false: 0.9139308333396912, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9192343950271606, max_false: 0.9262567162513733, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9510065317153931, max_false: 0.9334746599197388, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9427940845489502, max_false: 0.9450138807296753, correct: False
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9457979798316956, max_false: 0.9481065273284912, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9262785911560059, max_false: 0.8703157901763916, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9078004956245422, max_false: 0.9086781144142151, correct: False
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9286428689956665, max_false: 0.9072946310043335, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9365723133087158, max_false: 0.9376962184906006, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9572637677192688, max_false: 0.9529892206192017, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9390056133270264, max_false: 0.9198337197303772, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.941870927810669, max_false: 0.9251585006713867, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9593291282653809, max_false: 0.9431917071342468, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8476938605308533, max_false: 0.8495449423789978, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9434662461280823, max_false: 0.9095569849014282, correct: True
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.9409022331237793, max_false: 0.9100877046585083, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8986531496047974, max_false: 0.8954077959060669, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.944343090057373, max_false: 0.9524477124214172, correct: False
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9504472613334656, max_false: 0.9243018627166748, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.903648853302002, max_false: 0.8690406680107117, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9337618350982666, max_false: 0.9344013333320618, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9015341401100159, max_false: 0.8785181045532227, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9261709451675415, max_false: 0.8954864144325256, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8661436438560486, max_false: 0.8818280100822449, correct: False
in: torch.Size([181, 5120]), out: torch.Size([5120]), max_true: 0.9338409304618835, max_false: 0.9322271347045898, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9446854591369629, max_false: 0.9434787631034851, correct: True
in: torch.Size([104, 5120]), out: torch.Size([5120]), max_true: 0.8987115025520325, max_false: 0.9461293816566467, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9581503868103027, max_false: 0.8751940131187439, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9460839033126831, max_false: 0.9428296089172363, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9472556114196777, max_false: 0.9282360076904297, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9428024888038635, max_false: 0.9464977383613586, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.938392698764801, max_false: 0.9212738871574402, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9423210024833679, max_false: 0.9410739541053772, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9351166486740112, max_false: 0.9266985058784485, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9146448373794556, max_false: 0.9085659384727478, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8663385510444641, max_false: 0.8867846131324768, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9345427751541138, max_false: 0.9545837640762329, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9147281646728516, max_false: 0.9265849590301514, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8574117422103882, max_false: 0.8768747448921204, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9514670968055725, max_false: 0.922360897064209, correct: True
