experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.923833429813385, max_false: 0.9199135899543762, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9323635101318359, max_false: 0.874442994594574, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9528816342353821, max_false: 0.9513067603111267, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8745195269584656, max_false: 0.8408926725387573, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9254937767982483, max_false: 0.8848949074745178, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8374104499816895, max_false: 0.8099098801612854, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9405436515808105, max_false: 0.9192870259284973, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9173746705055237, max_false: 0.8997316360473633, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9458253979682922, max_false: 0.9307138919830322, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9292859435081482, max_false: 0.9112699031829834, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8787586092948914, max_false: 0.879826545715332, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8774548172950745, max_false: 0.8668519258499146, correct: True
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.8123647570610046, max_false: 0.816369891166687, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9051390886306763, max_false: 0.914950430393219, correct: False
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9262059926986694, max_false: 0.9139824509620667, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9411118030548096, max_false: 0.939300000667572, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9380874633789062, max_false: 0.9003382325172424, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9267276525497437, max_false: 0.859574556350708, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.958839476108551, max_false: 0.9029811024665833, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9182379841804504, max_false: 0.9000996947288513, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9119782447814941, max_false: 0.9126333594322205, correct: False
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9599701166152954, max_false: 0.9320842027664185, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9423156380653381, max_false: 0.9127869009971619, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9535162448883057, max_false: 0.9172105193138123, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9341452717781067, max_false: 0.8968104720115662, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.899686336517334, max_false: 0.8541877865791321, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9603793621063232, max_false: 0.9435073137283325, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9439453482627869, max_false: 0.9168119430541992, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9351122975349426, max_false: 0.9376894235610962, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9042498469352722, max_false: 0.8665220141410828, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9370344281196594, max_false: 0.9048169255256653, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9539902210235596, max_false: 0.9044933319091797, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9509254097938538, max_false: 0.9517204165458679, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9156178832054138, max_false: 0.9237364530563354, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.929431140422821, max_false: 0.9122722148895264, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.924025297164917, max_false: 0.9323471188545227, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.948815643787384, max_false: 0.9390558004379272, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9494092464447021, max_false: 0.9444603323936462, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9454516768455505, max_false: 0.9490744471549988, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9288961887359619, max_false: 0.8676844835281372, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9076055288314819, max_false: 0.9099014401435852, correct: False
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9318432807922363, max_false: 0.9079633951187134, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.936614990234375, max_false: 0.9375537633895874, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9552268981933594, max_false: 0.95536869764328, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9354077577590942, max_false: 0.9121735692024231, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.941347599029541, max_false: 0.9298127889633179, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9584583640098572, max_false: 0.9423558115959167, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8625752925872803, max_false: 0.8668345808982849, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9425984025001526, max_false: 0.9046081304550171, correct: True
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.9410370588302612, max_false: 0.9117470383644104, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9012816548347473, max_false: 0.9006282687187195, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9429458379745483, max_false: 0.9541577100753784, correct: False
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9563397169113159, max_false: 0.9239756464958191, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.897036612033844, max_false: 0.8653009533882141, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9320558309555054, max_false: 0.9355025887489319, correct: False
