experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: batched

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.8937962651252747, max_false: 0.8789429664611816, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), max_true: 0.9214170575141907, max_false: 0.8550208210945129, correct: True
in: torch.Size([193, 5120]), out: torch.Size([5120]), max_true: 0.9464271664619446, max_false: 0.9406695365905762, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.8556562662124634, max_false: 0.826545238494873, correct: True
in: torch.Size([88, 5120]), out: torch.Size([5120]), max_true: 0.9229233264923096, max_false: 0.8735072016716003, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), max_true: 0.8296770453453064, max_false: 0.8079965114593506, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9411236643791199, max_false: 0.9111757278442383, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9063460230827332, max_false: 0.9024074673652649, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9265549778938293, max_false: 0.9111559987068176, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), max_true: 0.9013298749923706, max_false: 0.8829731345176697, correct: True
in: torch.Size([152, 5120]), out: torch.Size([5120]), max_true: 0.8584197759628296, max_false: 0.8412514925003052, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.8599230051040649, max_false: 0.8638999462127686, correct: False
in: torch.Size([124, 5120]), out: torch.Size([5120]), max_true: 0.7368526458740234, max_false: 0.7429664731025696, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.8844562768936157, max_false: 0.8829482793807983, correct: True
in: torch.Size([88, 5120]), out: torch.Size([5120]), max_true: 0.9064325094223022, max_false: 0.8794046640396118, correct: True
