experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: single

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9109122157096863, max_false: 0.875208854675293, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9064452648162842, max_false: 0.872227668762207, correct: True
in: torch.Size([193, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9549721479415894, max_false: 0.9437457323074341, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.905630350112915, max_false: 0.8396053910255432, correct: True
in: torch.Size([88, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9176737666130066, max_false: 0.8843300938606262, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8504305481910706, max_false: 0.8739689588546753, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9444688558578491, max_false: 0.9303423166275024, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9014248251914978, max_false: 0.9128103852272034, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9336838126182556, max_false: 0.9186870455741882, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9114432334899902, max_false: 0.9208105802536011, correct: False
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.881672203540802, max_false: 0.8888677358627319, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.877299427986145, max_false: 0.8840218782424927, correct: False
in: torch.Size([124, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.7732115387916565, max_false: 0.777700662612915, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9075698852539062, max_false: 0.8963735699653625, correct: True
in: torch.Size([88, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9190905094146729, max_false: 0.8822725415229797, correct: True
in: torch.Size([178, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9594463109970093, max_false: 0.9363409876823425, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9501081109046936, max_false: 0.906566858291626, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.914789617061615, max_false: 0.8758341670036316, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9484643340110779, max_false: 0.8989397287368774, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8947365283966064, max_false: 0.9161822199821472, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9066802263259888, max_false: 0.9163333773612976, correct: False
in: torch.Size([193, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9394345879554749, max_false: 0.9369664788246155, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9241002798080444, max_false: 0.9245050549507141, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9335734248161316, max_false: 0.8895730972290039, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9328992366790771, max_false: 0.8963661789894104, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9120566844940186, max_false: 0.8535313606262207, correct: True
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9539645910263062, max_false: 0.9538577795028687, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9256333112716675, max_false: 0.9026528596878052, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9530481100082397, max_false: 0.9302194714546204, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9113487601280212, max_false: 0.8764209747314453, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9454683661460876, max_false: 0.9198427796363831, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9516724944114685, max_false: 0.8812173008918762, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.949627161026001, max_false: 0.9532079100608826, correct: False
