experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: vision
  prompt structure: batched

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9357786774635315, max_false: 0.9699973464012146, correct: False
in: torch.Size([133, 5120]), out: torch.Size([5120]), max_true: 0.9032993912696838, max_false: 0.8883902430534363, correct: True
in: torch.Size([193, 5120]), out: torch.Size([5120]), max_true: 0.9718464612960815, max_false: 0.9693042039871216, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.8250990509986877, max_false: 0.8217645287513733, correct: True
in: torch.Size([88, 5120]), out: torch.Size([5120]), max_true: 0.9395508766174316, max_false: 0.9158404469490051, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), max_true: 0.9135869145393372, max_false: 0.8873870372772217, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.971774697303772, max_false: 0.9475795030593872, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9306267499923706, max_false: 0.9246864318847656, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9787943363189697, max_false: 0.9599747657775879, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), max_true: 0.9658223390579224, max_false: 0.9703852534294128, correct: False
in: torch.Size([152, 5120]), out: torch.Size([5120]), max_true: 0.9035028219223022, max_false: 0.8926385641098022, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9604126214981079, max_false: 0.9488760232925415, correct: True
in: torch.Size([124, 5120]), out: torch.Size([5120]), max_true: 0.7787483334541321, max_false: 0.8283826112747192, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.8872925043106079, max_false: 0.8562424182891846, correct: True
in: torch.Size([88, 5120]), out: torch.Size([5120]), max_true: 0.9339296817779541, max_false: 0.9101088047027588, correct: True
in: torch.Size([178, 5120]), out: torch.Size([5120]), max_true: 0.951573371887207, max_false: 0.9610627889633179, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.8976849317550659, max_false: 0.8536901473999023, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9660258889198303, max_false: 0.9324254989624023, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.974869430065155, max_false: 0.9381109476089478, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), max_true: 0.964712381362915, max_false: 0.9448211193084717, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.9541059732437134, max_false: 0.9387900233268738, correct: True
in: torch.Size([193, 5120]), out: torch.Size([5120]), max_true: 0.9830763936042786, max_false: 0.9683966636657715, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9456754922866821, max_false: 0.8860921859741211, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9539216756820679, max_false: 0.9172757267951965, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.9738021492958069, max_false: 0.9574906826019287, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.771212637424469, max_false: 0.7520444393157959, correct: True
in: torch.Size([152, 5120]), out: torch.Size([5120]), max_true: 0.9811192750930786, max_false: 0.9689307808876038, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), max_true: 0.9308157563209534, max_false: 0.893986701965332, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.921245276927948, max_false: 0.9579576253890991, correct: False
in: torch.Size([133, 5120]), out: torch.Size([5120]), max_true: 0.8511096835136414, max_false: 0.8718132972717285, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.9193198680877686, max_false: 0.9074047803878784, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.6635617613792419, max_false: 0.6294454336166382, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.8325126767158508, max_false: 0.8616621494293213, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9384384155273438, max_false: 0.9618885517120361, correct: False
in: torch.Size([118, 5120]), out: torch.Size([5120]), max_true: 0.9657580256462097, max_false: 0.9651395082473755, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9713379740715027, max_false: 0.9769170880317688, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9749773144721985, max_false: 0.9711531400680542, correct: True
in: torch.Size([152, 5120]), out: torch.Size([5120]), max_true: 0.9702246189117432, max_false: 0.9613705277442932, correct: True
in: torch.Size([178, 5120]), out: torch.Size([5120]), max_true: 0.9757097363471985, max_false: 0.9834885001182556, correct: False
