experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: vision
  prompt structure: single

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9509597420692444, max_false: 0.9638316035270691, correct: False
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.893761396408081, max_false: 0.8877530097961426, correct: True
in: torch.Size([193, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9692767858505249, max_false: 0.9715734124183655, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8448243141174316, max_false: 0.8561596274375916, correct: False
in: torch.Size([88, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9559617638587952, max_false: 0.9371747374534607, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9015180468559265, max_false: 0.8729543089866638, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9679782390594482, max_false: 0.92633056640625, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8942266702651978, max_false: 0.9192503690719604, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9790279865264893, max_false: 0.966887891292572, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9539015889167786, max_false: 0.9659985303878784, correct: False
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9246698021888733, max_false: 0.8957041501998901, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9562506675720215, max_false: 0.9477431178092957, correct: True
in: torch.Size([124, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8303649425506592, max_false: 0.8710267543792725, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8739920854568481, max_false: 0.8819904923439026, correct: False
in: torch.Size([88, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9156319499015808, max_false: 0.880413293838501, correct: True
in: torch.Size([178, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9331803321838379, max_false: 0.9560970067977905, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9318318367004395, max_false: 0.8949503302574158, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9707708954811096, max_false: 0.9602588415145874, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9555732011795044, max_false: 0.9309876561164856, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9492931365966797, max_false: 0.9519566297531128, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9380179643630981, max_false: 0.9457590579986572, correct: False
in: torch.Size([193, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9695137143135071, max_false: 0.9629882574081421, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9112348556518555, max_false: 0.8903709053993225, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9485755562782288, max_false: 0.8722026348114014, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9665351510047913, max_false: 0.9549415707588196, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8448024988174438, max_false: 0.8046180605888367, correct: True
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.96971595287323, max_false: 0.9744003415107727, correct: False
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9182097315788269, max_false: 0.9016625285148621, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9633609056472778, max_false: 0.9563081860542297, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8756054639816284, max_false: 0.853304386138916, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9089037179946899, max_false: 0.8842642307281494, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8551662564277649, max_false: 0.7596927285194397, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8799600601196289, max_false: 0.8697718977928162, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9483784437179565, max_false: 0.950366735458374, correct: False
in: torch.Size([118, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9535053968429565, max_false: 0.9492946863174438, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9737609028816223, max_false: 0.9744107127189636, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9704186916351318, max_false: 0.9517061114311218, correct: True
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9703487753868103, max_false: 0.9676985740661621, correct: True
in: torch.Size([178, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9791860580444336, max_false: 0.9739959239959717, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.962185800075531, max_false: 0.9410189986228943, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9677183628082275, max_false: 0.941551685333252, correct: True
in: torch.Size([166, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9022839665412903, max_false: 0.9125253558158875, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9608796834945679, max_false: 0.9616516828536987, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9650348424911499, max_false: 0.9775702953338623, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9816163182258606, max_false: 0.9585179686546326, correct: True
in: torch.Size([166, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9783928990364075, max_false: 0.971672773361206, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.973136305809021, max_false: 0.9659481644630432, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9480590224266052, max_false: 0.9586938619613647, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9666028618812561, max_false: 0.9498475790023804, correct: True
in: torch.Size([124, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9505075216293335, max_false: 0.9420782923698425, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.942274808883667, max_false: 0.9422369599342346, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8895662426948547, max_false: 0.9257128238677979, correct: False
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9768712520599365, max_false: 0.9660499691963196, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.948227047920227, max_false: 0.9648988246917725, correct: False
in: torch.Size([166, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9662200212478638, max_false: 0.9784806370735168, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9445216655731201, max_false: 0.943432629108429, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9454976320266724, max_false: 0.9242721796035767, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9551725387573242, max_false: 0.971127986907959, correct: False
in: torch.Size([180, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9475874900817871, max_false: 0.9639132618904114, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9794983863830566, max_false: 0.9517240524291992, correct: True
in: torch.Size([103, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9350888729095459, max_false: 0.8871458172798157, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.955985426902771, max_false: 0.8773931264877319, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.955480694770813, max_false: 0.9603667259216309, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9838405251502991, max_false: 0.9720816016197205, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9087231755256653, max_false: 0.7553331255912781, correct: True
