experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: vision
  prompt structure: interleaved

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9355670809745789, max_false: 0.96988844871521, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9032001495361328, max_false: 0.8885539770126343, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9724291563034058, max_false: 0.9705803394317627, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8196248412132263, max_false: 0.8186482787132263, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9408538341522217, max_false: 0.9186307787895203, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.913362443447113, max_false: 0.8866527080535889, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9717531800270081, max_false: 0.9470861554145813, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9317896366119385, max_false: 0.9237231612205505, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.978003978729248, max_false: 0.9592340588569641, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.965329647064209, max_false: 0.9703330397605896, correct: False
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9019310474395752, max_false: 0.8945613503456116, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9600504040718079, max_false: 0.9473302960395813, correct: True
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.778194785118103, max_false: 0.8278169631958008, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8866082429885864, max_false: 0.8540237545967102, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9340755939483643, max_false: 0.910262942314148, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9510508179664612, max_false: 0.9606819152832031, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8990271091461182, max_false: 0.8535222411155701, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9652734398841858, max_false: 0.9327409267425537, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9748355150222778, max_false: 0.9374903440475464, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9653439521789551, max_false: 0.9463784694671631, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9538137912750244, max_false: 0.938998281955719, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9830343723297119, max_false: 0.9683017730712891, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9427630305290222, max_false: 0.8863493800163269, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9519535303115845, max_false: 0.9172987937927246, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9735653400421143, max_false: 0.9573505520820618, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.770781397819519, max_false: 0.7522619366645813, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9809899926185608, max_false: 0.9691804051399231, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9218809008598328, max_false: 0.8876938223838806, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9174186587333679, max_false: 0.9566532373428345, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8506872057914734, max_false: 0.8711799383163452, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9221323132514954, max_false: 0.9079599380493164, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.662084698677063, max_false: 0.6306498646736145, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8125612735748291, max_false: 0.8452265858650208, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9394144415855408, max_false: 0.9623634815216064, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9655537605285645, max_false: 0.9652414321899414, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9719217419624329, max_false: 0.9770902991294861, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9747843742370605, max_false: 0.9703285694122314, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.970843493938446, max_false: 0.961861252784729, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9749882817268372, max_false: 0.9832409620285034, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9626398682594299, max_false: 0.933337390422821, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9526564478874207, max_false: 0.9493350982666016, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9032415151596069, max_false: 0.9152209162712097, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9715502262115479, max_false: 0.9690232872962952, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9632939100265503, max_false: 0.982380211353302, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9868916869163513, max_false: 0.9755697250366211, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9768710136413574, max_false: 0.973544716835022, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9763200879096985, max_false: 0.9690759778022766, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9401865601539612, max_false: 0.9548520445823669, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9770246744155884, max_false: 0.938696026802063, correct: True
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.9497711658477783, max_false: 0.9588407874107361, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.946064293384552, max_false: 0.9405913949012756, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9177945852279663, max_false: 0.9384542107582092, correct: False
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9847927093505859, max_false: 0.9619810581207275, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9414492249488831, max_false: 0.904706597328186, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9787617325782776, max_false: 0.9768134355545044, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.952613115310669, max_false: 0.9555205702781677, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9595357775688171, max_false: 0.9477885365486145, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9613356590270996, max_false: 0.9562691450119019, correct: True
in: torch.Size([181, 5120]), out: torch.Size([5120]), max_true: 0.9295456409454346, max_false: 0.9682580232620239, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9797222018241882, max_false: 0.9391769766807556, correct: True
in: torch.Size([104, 5120]), out: torch.Size([5120]), max_true: 0.8547616600990295, max_false: 0.8514885306358337, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9329888224601746, max_false: 0.8764783143997192, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9717719554901123, max_false: 0.9616060256958008, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9788343906402588, max_false: 0.9731827974319458, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7465943694114685, max_false: 0.7315509915351868, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9722687005996704, max_false: 0.9658327102661133, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9459660649299622, max_false: 0.9603879451751709, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9656383395195007, max_false: 0.9669155478477478, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9782386422157288, max_false: 0.9744592905044556, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8089763522148132, max_false: 0.8170799612998962, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9700726270675659, max_false: 0.9631059765815735, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9736178517341614, max_false: 0.9572540521621704, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8816329836845398, max_false: 0.8831973075866699, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9752438068389893, max_false: 0.9251555800437927, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9674975275993347, max_false: 0.9636412858963013, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.972673237323761, max_false: 0.9601249694824219, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9567989706993103, max_false: 0.9646615982055664, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9780243039131165, max_false: 0.9635233879089355, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9198551177978516, max_false: 0.8888718485832214, correct: True
in: torch.Size([181, 5120]), out: torch.Size([5120]), max_true: 0.8894951939582825, max_false: 0.9217432737350464, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9731431603431702, max_false: 0.9332448244094849, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9771561026573181, max_false: 0.9655126333236694, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9463556408882141, max_false: 0.9708885550498962, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8193618059158325, max_false: 0.8608441948890686, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9694051742553711, max_false: 0.9539571404457092, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7506465315818787, max_false: 0.6204298138618469, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9499621391296387, max_false: 0.9728619456291199, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9512831568717957, max_false: 0.9097608327865601, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.930163562297821, max_false: 0.9067909717559814, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9171493053436279, max_false: 0.9305594563484192, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9475415945053101, max_false: 0.9433923959732056, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9361175298690796, max_false: 0.9111425280570984, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9817904233932495, max_false: 0.956285834312439, correct: True
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.9770475625991821, max_false: 0.9550769925117493, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9562225937843323, max_false: 0.9311482906341553, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9686933159828186, max_false: 0.9731025099754333, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.95890212059021, max_false: 0.9445533752441406, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9571099281311035, max_false: 0.9554311633110046, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9563122987747192, max_false: 0.8708509802818298, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9341423511505127, max_false: 0.9740002751350403, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9636155366897583, max_false: 0.9615704417228699, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9601054787635803, max_false: 0.9194539785385132, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9566804766654968, max_false: 0.9527022838592529, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8162820339202881, max_false: 0.7922825813293457, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.929649829864502, max_false: 0.9537592530250549, correct: False
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9762290120124817, max_false: 0.9522815942764282, correct: True
in: torch.Size([195, 5120]), out: torch.Size([5120]), max_true: 0.9681179523468018, max_false: 0.9498509168624878, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9051193594932556, max_false: 0.9395270943641663, correct: False
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.961037278175354, max_false: 0.9667218327522278, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9589066505432129, max_false: 0.9518049955368042, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.97150719165802, max_false: 0.9748328924179077, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.964726448059082, max_false: 0.9730245471000671, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9308639764785767, max_false: 0.9092788696289062, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7255694270133972, max_false: 0.7591380476951599, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.7809256911277771, max_false: 0.8303377032279968, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.970795750617981, max_false: 0.9676103591918945, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9294305443763733, max_false: 0.9240712523460388, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9745193719863892, max_false: 0.9591447114944458, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9507355690002441, max_false: 0.9118029475212097, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9122254848480225, max_false: 0.8847436308860779, correct: True
