experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: final
  prompt structure: interleaved

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8878052234649658, max_false: 0.8600221276283264, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.8495270013809204, max_false: 0.8117319345474243, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9021592736244202, max_false: 0.8967171311378479, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8427945375442505, max_false: 0.8092786073684692, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9180898070335388, max_false: 0.8834937214851379, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9304290413856506, max_false: 0.8702805042266846, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9155809879302979, max_false: 0.9019855856895447, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8779777884483337, max_false: 0.9072822332382202, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9093473553657532, max_false: 0.8953326940536499, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.875484824180603, max_false: 0.8549333810806274, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8555780053138733, max_false: 0.8242200016975403, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8506698608398438, max_false: 0.8842786550521851, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9451478123664856, max_false: 0.8885617852210999, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8960003852844238, max_false: 0.8434692025184631, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9313048124313354, max_false: 0.8385248780250549, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9040300250053406, max_false: 0.8338546752929688, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9276190996170044, max_false: 0.9023400545120239, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8997043371200562, max_false: 0.8767403960227966, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8999515175819397, max_false: 0.8649260401725769, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9159786105155945, max_false: 0.9168692827224731, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8703535199165344, max_false: 0.8692025542259216, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8179110288619995, max_false: 0.8196077346801758, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.94100022315979, max_false: 0.9329346418380737, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8342297673225403, max_false: 0.830843985080719, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9179350137710571, max_false: 0.9082253575325012, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8012510538101196, max_false: 0.801800012588501, correct: False
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9521210193634033, max_false: 0.9277216196060181, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9320842623710632, max_false: 0.9060755968093872, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9187675714492798, max_false: 0.8942119479179382, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.8777655959129333, max_false: 0.8840293884277344, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.874219536781311, max_false: 0.9048720002174377, correct: False
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.8693132400512695, max_false: 0.885306179523468, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9195898175239563, max_false: 0.86668860912323, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8473237752914429, max_false: 0.8150457143783569, correct: True
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.7390466928482056, max_false: 0.6285796165466309, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8763596415519714, max_false: 0.8672140836715698, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8685089349746704, max_false: 0.8333739638328552, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8507645130157471, max_false: 0.7850092649459839, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9523478746414185, max_false: 0.9343169927597046, correct: True
