experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: final
  prompt structure: labeled

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8812091946601868, max_false: 0.8557611703872681, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.8540963530540466, max_false: 0.8162604570388794, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9105868339538574, max_false: 0.9083892107009888, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8363996744155884, max_false: 0.7945214509963989, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.913891613483429, max_false: 0.8747799396514893, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9358953237533569, max_false: 0.8821805715560913, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9371315836906433, max_false: 0.9183164834976196, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.885529637336731, max_false: 0.918145477771759, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.90625, max_false: 0.8864539265632629, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8722519278526306, max_false: 0.855312168598175, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8740730285644531, max_false: 0.8531252145767212, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8501941561698914, max_false: 0.8855534195899963, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9459550380706787, max_false: 0.890282154083252, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9051446914672852, max_false: 0.8528592586517334, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9406900405883789, max_false: 0.8521983623504639, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9048305749893188, max_false: 0.8322330117225647, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9360361099243164, max_false: 0.9105062484741211, correct: True
