experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: final
  prompt structure: batched

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([118, 5120]), out: torch.Size([5120]), max_true: 0.8795895576477051, max_false: 0.8429437875747681, correct: True
in: torch.Size([166, 5120]), out: torch.Size([5120]), max_true: 0.808097779750824, max_false: 0.7636058330535889, correct: True
in: torch.Size([88, 5120]), out: torch.Size([5120]), max_true: 0.8999730348587036, max_false: 0.8594987392425537, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), max_true: 0.8232643008232117, max_false: 0.75785231590271, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.9017814993858337, max_false: 0.8615949153900146, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.9022261500358582, max_false: 0.846976101398468, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9257253408432007, max_false: 0.9013355374336243, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.8666940927505493, max_false: 0.8859790563583374, correct: False
in: torch.Size([133, 5120]), out: torch.Size([5120]), max_true: 0.8890031576156616, max_false: 0.8492759466171265, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), max_true: 0.8595855832099915, max_false: 0.8262649774551392, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), max_true: 0.8617414832115173, max_false: 0.8162114024162292, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), max_true: 0.8279793858528137, max_false: 0.862588107585907, correct: False
in: torch.Size([118, 5120]), out: torch.Size([5120]), max_true: 0.943971574306488, max_false: 0.8853567242622375, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.8747314214706421, max_false: 0.8183139562606812, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9229341745376587, max_false: 0.8048558235168457, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), max_true: 0.8956578969955444, max_false: 0.8106762170791626, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.8769878149032593, max_false: 0.8545359969139099, correct: True
in: torch.Size([152, 5120]), out: torch.Size([5120]), max_true: 0.8754356503486633, max_false: 0.8437500596046448, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9461433291435242, max_false: 0.8976592421531677, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.8796103596687317, max_false: 0.8645609617233276, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.883639931678772, max_false: 0.8764790892601013, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.822285532951355, max_false: 0.8280699849128723, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.9307827353477478, max_false: 0.9206442832946777, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), max_true: 0.8079261183738708, max_false: 0.8076241612434387, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9185596704483032, max_false: 0.901580274105072, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), max_true: 0.7729185819625854, max_false: 0.7616250514984131, correct: True
in: torch.Size([178, 5120]), out: torch.Size([5120]), max_true: 0.9504209756851196, max_false: 0.9141635894775391, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), max_true: 0.9101102352142334, max_false: 0.8739504814147949, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.9127403497695923, max_false: 0.8861072063446045, correct: True
in: torch.Size([178, 5120]), out: torch.Size([5120]), max_true: 0.8609551787376404, max_false: 0.8674561977386475, correct: False
in: torch.Size([208, 5120]), out: torch.Size([5120]), max_true: 0.8615231513977051, max_false: 0.8800585865974426, correct: False
in: torch.Size([138, 5120]), out: torch.Size([5120]), max_true: 0.8319928050041199, max_false: 0.8591902852058411, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9190192222595215, max_false: 0.8352165222167969, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), max_true: 0.8456515073776245, max_false: 0.7928192019462585, correct: True
in: torch.Size([138, 5120]), out: torch.Size([5120]), max_true: 0.67987459897995, max_false: 0.5299339890480042, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), max_true: 0.8532130718231201, max_false: 0.8282378911972046, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.8512581586837769, max_false: 0.8110633492469788, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), max_true: 0.8571903109550476, max_false: 0.7836233377456665, correct: True
in: torch.Size([152, 5120]), out: torch.Size([5120]), max_true: 0.9440535306930542, max_false: 0.9356826543807983, correct: True
in: torch.Size([152, 5120]), out: torch.Size([5120]), max_true: 0.8938178420066833, max_false: 0.8891043066978455, correct: True
