experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: vision
  prompt structure: batched

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([118, 5120]), out: torch.Size([5120]), max_true: 0.7789235711097717, max_false: 0.6367175579071045, correct: True
in: torch.Size([166, 5120]), out: torch.Size([5120]), max_true: 0.9568092823028564, max_false: 0.8466524481773376, correct: True
in: torch.Size([88, 5120]), out: torch.Size([5120]), max_true: 0.8121730089187622, max_false: 0.7871572375297546, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), max_true: 0.9182006120681763, max_false: 0.9358431696891785, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.9486663341522217, max_false: 0.9514920115470886, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.8575679063796997, max_false: 0.8460885882377625, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.96448814868927, max_false: 0.9613558650016785, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9176691174507141, max_false: 0.9089805483818054, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), max_true: 0.9581624865531921, max_false: 0.9403781294822693, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), max_true: 0.8674858212471008, max_false: 0.8903639316558838, correct: False
in: torch.Size([118, 5120]), out: torch.Size([5120]), max_true: 0.7931331396102905, max_false: 0.8293585777282715, correct: False
in: torch.Size([118, 5120]), out: torch.Size([5120]), max_true: 0.6998746395111084, max_false: 0.6765325665473938, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), max_true: 0.9147717952728271, max_false: 0.8571985960006714, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.9383113384246826, max_false: 0.9100331664085388, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.8800912499427795, max_false: 0.7771796584129333, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), max_true: 0.9668489694595337, max_false: 0.9282617568969727, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9651930332183838, max_false: 0.9548422694206238, correct: True
in: torch.Size([152, 5120]), out: torch.Size([5120]), max_true: 0.9557600021362305, max_false: 0.9504950642585754, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9117226004600525, max_false: 0.8423575162887573, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.8601710200309753, max_false: 0.8387435078620911, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.9757276773452759, max_false: 0.9752545952796936, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.9195511341094971, max_false: 0.9241586327552795, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), max_true: 0.9597520232200623, max_false: 0.9604088664054871, correct: False
in: torch.Size([118, 5120]), out: torch.Size([5120]), max_true: 0.8366936445236206, max_false: 0.8461214900016785, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), max_true: 0.910922646522522, max_false: 0.9633545875549316, correct: False
in: torch.Size([208, 5120]), out: torch.Size([5120]), max_true: 0.9274899959564209, max_false: 0.9133203625679016, correct: True
